key,jp,vi
Text/9b/text,코니알 님의 감시가 이전보다 심해져 직접적인 도움은 드릴 수 없지만,"l đại nhân giám sát gắt hơn trước nên kẻ hèn này không thể trực tiếp giúp quý nhân được, nhưng"
Text/9c/text,적어도 걸림돌이 되고 싶지는 않습니다.,ít nhất kẻ hèn này cũng không muốn làm chướng ngại.
Text/9d/text,상품을 제공하는 것 외에도.. 여러분들을 도울 방법이 있었습니다만..,Ngoài việc cung cấp hàng hóa ra... vẫn có cách để giúp quý vị...
Choice/9e/text,方法って…,Phương pháp là...?
Choice/9f/text,あの時コニアルが言ってた？,Là chuyện hồi đó Konial từng nói sao?
Text/a0/text,네.. 섹스 라는 것을 하면.,"Vâng... nếu làm chuyện đó, chuyện làm tình ấy ạ."
Text/a1/text,저도 티켓을 만들어 낼 수 있다고 하셨죠.,l đại nhân nói kẻ hèn này cũng có thể tạo ra vé.
Text/a2/text,무.. 물론 당신이 원하신다면 말입니다.,Dĩ.. dĩ nhiên là nếu quý nhân đồng ý.
Text/a3/text,이런 행위는 서로가 좋아하는 상대여야 효과적이라고 들었으니까요..,Kẻ hèn này nghe bảo chuyện này phải với người mình thích mới hiệu quả...
Choice/a4/text,ぜひお願いするよ！,"Nhất định rồi, nhờ cậu nhé!"
Text/a5/text,즈..즉답이군요. 정말 괜찮겠습니까? 저는..,T...trả lời dứt khoát thật. Quý nhân thực sự không ngại sao? Kẻ hèn này...
Choice/a6/text,執事は乗り気じゃない？,Anh quản gia không muốn đi sao?
Text/a7/text,저.. 전,Ke.. kẻ hèn này...
Text/a8/text,저도 좋아해요!,Kẻ hèn này... cũng thích quý nhân!
Text/a9/text,사실 인간 모습으로 변하고 그.. 섹스 라는 것에 관심이 생겨서..,"Thực ra từ khi hóa thành hình người, kẻ hèn này để ý đến... chuyện làm tình..."
Text/aa/text,많이 서툴러서 기분이라던가 좋지 않을 수 있지만.. 괜찮으시다면.,"Kẻ hèn này vụng về lắm, chắc không làm quý nhân thoải mái được đâu... nhưng nếu quý nhân không chê."
Choice/ab/text,執事は初めてだから、順番に教えてあげるよ。,"Quản gia lần đầu mà, để tôi dạy từ từ cho."
Choice/ac/text,まずは…ちんぽってものに慣れないとね？,Trước hết... phải tập làm quen với cặc của tôi đã nhỉ?
Text/ad/text,네. 네! 열심히 배우도록 하겠습니다..,"Vâng, vâng! Kẻ hèn này sẽ cố học..."
Text/ae/text,이.. 이게 자지..라는 거군요.,Đâ.. đây là cặc... ạ.
Text/af/text,항상 이렇게 큰 겁니까? 자지라는 건..,Cặc... lúc nào cũng to thế này sao ạ?
Text/b0/text,제 덕분이라고요? 자지를 쥐고 있을 뿐인데..,Nhờ kẻ hèn này ư? Chỉ cầm cặc thôi mà...
Text/b1/text,하지만 이렇게 보고 있는 것만으로도 기분이 이상해집니다..,Nhưng sao chỉ nhìn thế này thôi đã thấy là lạ rồi...
Text/b2/text,여기서 손을 위 아래로 말입니까?,Là đưa tay lên xuống chỗ này ạ?
Text/b3/text,알겠습니다. 아.. 아프면 말해주세요.,Hiểu rồi ạ. A... nếu đau thì quý nhân hãy nói nhé.
Text/b4/text,(문질..문질..),(Xoa... xoa...)
Text/b5/text,이런게 정말 기분 좋으십니까?,Làm thế này quý nhân thấy sướng thật sao?
Text/b6/text,"아, 자지 끝에서 무언가 흐르고 있습니다만..","A, đầu cặc có thứ gì đang chảy ra..."
Text/b7/text,덕분에 자지가 더 미끄러워서.. 문질문질하기 쉬워졌습니다.,Nhờ vậy mà cặc trơn hơn... dễ xoa hơn ạ.
Text/b8/text,하지만.. 제 작은 손으로는 이 커다란 자지를 전부 감쌀 수 없어서..,"Nhưng... tay kẻ hèn này nhỏ quá, không ôm trọn cái cặc to lớn này được..."
Text/b9/text,괜찮으시다면 혀를 써도 되겠습니까?,"Nếu quý nhân không chê, kẻ hèn này có thể dùng lưỡi không ạ?"
Text/ba/text,침까지 섞어서 더 미끌거리게 만들면 기분이 더 좋아지지 않을까 싶습니다만..,Kẻ hèn này nghĩ thêm nước bọt cho trơn hơn chắc sẽ dễ chịu hơn...
Choice/bb/text,…才能があるみたいだね。,...Có vẻ cậu có năng khiếu đấy.
Text/bc/text,..네? 재능이요? 혀를 쓰는게 정답이었던 건가요..,Hả? Tài năng ạ? Dùng lưỡi là đúng sao...
Text/bd/text,그럼 하..핥아 보겠습니다.,Vậy thì li... liếm thử ạ.
Text/be/text,츄릅.. 하앗..,Chụt.. há...
Text/bf/text,할짝.. 기분 좋으십니까?,Liếm... quý nhân thấy dễ chịu không ạ?
Text/c0/text,위아래로.. 문질문질 하면서.. 하아. 혀를 써서..,Lên xuống... vừa xoa vừa... há... dùng lưỡi...
Text/c1/text,자지에서 나온 즙과 제 침이 섞여서.. 독특한 맛이 납니다..,Nước từ cặc trộn với nước bọt của kẻ hèn này... vị lạ ghê...
Text/c2/text,엄청나게 뜨거워서 열기가 제 두 볼에 느껴질 정도에요..,"Nóng quá, hơi nóng phả lên cả hai má kẻ hèn này..."
Text/c3/text,찌걱..찌걱.. 왠지 부끄러운 소리가 나기 시작했습니다.,Chép.. chép... Không hiểu sao lại bắt đầu phát ra âm thanh ngượng ngùng.
Text/c4/text,자지도 점점 커지고 있어요.. 정말 괜찮으신 겁니까?,Cặc càng lúc càng to... quý nhân thực sự không sao chứ ạ?
Text/c5/text,밑에 불알도.. 수축하고 있는데.. 뭔가 잘못되고 있는 건..?,Phía dưới... tinh hoàn cũng đang co rút... có chuyện gì không ổn sao...?
Choice/c6/text,気持ちよくて、射精する直前ってことだよ…,Vì sướng quá nên sắp bắn tinh đây...
Text/c7/text,사.. 사정 말입니까? 그렇군요.. 사정하기 전에는 이렇게 된다..,Bắn... bắn tinh ạ? Ra vậy... trước khi bắn tinh là thế này...
Text/c8/text,네. 속도를 더 높여서.. 마지막까지 기분 좋게 해 드리겠습니다.,Vâng. Kẻ hèn này sẽ tăng tốc... để quý nhân sướng đến phút cuối.
Text/c9/text,더 강하게 쥐고.. 혀를 써서.. 츄릅..,Bóp chặt hơn... dùng lưỡi... chụt...
Text/ca/text,문질문질.. 하아.. 하아.. 네. 사정해 주십시오.. 언제든지.,"Xoa xoa... ưm... ưm... Vâng, quý nhân cứ bắn ra bất cứ lúc nào."
Text/cb/text,기분 좋게 사정하실 수 있게. 마지막까지 봉사하겠습니다.. 하아.,Để giúp quý nhân bắn ra thật sướng. Kẻ hèn này sẽ phục vụ đến cùng... ưm.
Text/cc/text,이제.. 사정하시는 겁니까? 할짝.. 하아..,Giờ... quý nhân muốn bắn ra ạ? Liếm... ưm...
Text/cd/text,자지가 견딜 수 없이 떨립니다.. 참지 않으셔도 됩니다..,Cặc run lên không chịu nổi rồi... quý nhân không cần nhịn đâu ạ...
Text/ce/text,당신의 커다란 자지에서 나오는 정액.. 얼마든지 뿌려 주세요..,Tinh dịch từ cái cặc to lớn của quý nhân... xin cứ phóng ra bao nhiêu cũng được...
Text/cf/text,저는 얼마든지.. 아앗!,Kẻ hèn này xin nhận hết... aaaa!
Text/d0/text,하아.. 뜨겁고.. 야한 냄새로 가득합니다..,Há... nóng quá... tràn ngập mùi dâm dục...
Text/d1/text,이게 당신의 정액.. 이군요. 코니알 님이 그토록 원하시는 이유를 알 것도 같습니다.,Đây là tinh dịch của quý nhân... Kẻ hèn này hiểu sao Konial đại nhân lại thèm muốn đến thế.
Text/d2/text,정말 남자답고.. 늠름한 자지에서 나온.. 신선한 정액..,Thật là nam tính... tinh dịch tươi nguyên từ cái cặc oai hùng này...
Text/d3/text,미숙한 봉사에도 기분 좋아지셨다니.. 정말 기쁩니다.,Kẻ hèn này phục vụ còn non vậy mà quý nhân vẫn sướng... thực sự rất mừng.
Text/d4/text,사정 후에는 이렇게 줄어드는군요..,Sau khi bắn tinh thì nó xìu xuống thế này ạ...
Text/d5/text,"..그, 그게.","..Cái, cái kia..."
Text/d6/text,"가.. 가능하다면, 좀 더 연습해보고 싶었습니다.","Nế.. nếu có thể, kẻ hèn này muốn tập thêm một chút nữa."
Text/d7/text,하지만 이미 한번 사정하셨으니.. 앗!,Nhưng quý nhân đã bắn ra một lần rồi... á!
Text/d8/text,다시 전처럼 커져 버렸어요. 이게 대체?,Lại to lên như trước rồi. Cái này là sao?
Text/d9/text,이.. 익숙해 질때까지 얼마든지요?,V.. vậy cho đến khi quen thì bao nhiêu lần cũng được ạ?
Text/da/text,그.. 그래도 되겠습니까?,Th.. thực sự được sao ạ?
Text/db/text,..그렇다면 실례하겠습니다..,..Vậy thì kẻ hèn này xin phép...
Text/dc/text,부디 잔뜩 기분 좋아지셨으면 좋겠습니다.,Mong quý nhân sẽ thấy thật sướng.
Text/dd/text,하아..하아.. 정말로 몇번이고 사정하시다니..,Ưm... quý nhân thực sự bắn ra nhiều lần thật đấy...
Text/de/text,남성들은 전부 당신처럼 힘이 넘치는 겁니까?..,Đàn ông ai cũng tràn trề sinh lực như quý nhân sao?..
Text/df/text,그래도 덕분에 자지에 대해 익숙해 진 거 같습니다.,Nhờ vậy mà kẻ hèn này đã quen với con cặc của quý nhân rồi.
Text/e0/text,예행 연습이라 이번엔 손으로 끝낸 게 아쉽지만..,"Tuy chỉ là diễn tập, lần này phải kết thúc bằng tay hơi tiếc..."
Text/e1/text,다음번엔.. '실전'을 부탁드리겠습니다.,Lần sau... xin quý nhân cho kẻ hèn này 'thực chiến' ạ.
Text/170b/text,.....,.....
Text/170c/text,(두근.. 두근..),(Thình.. thịch..)
Text/170d/text,이.. 이제 곧..,S.. sắp đến giờ rồi...
Choice/170e/text,ただいま。,Tôi đã trở lại.
Text/170f/text,끼약?!,Chít?!
Text/1710/text,하앗.. 하앗..! 깜짝 놀랐습니다..,Há.. há..! Kẻ hèn này hết hồn...
Choice/1711/text,なんでそんなに驚いてるの…？,Sao cậu ngạc nhiên thế...?
Text/1712/text,"아, 아닙니다! 기척을 느끼지 못했을 뿐입니다.","A, không có gì ạ! Chỉ là kẻ hèn này không nghe thấy tiếng quý nhân đến thôi."
Text/1713/text,사..상품. 상품을 교환하러 오신 거죠? 마침 새로운 게 입고되었으니..,Hà.. hàng. Quý nhân tới đổi hàng phải không ạ? Vừa có hàng mới về...
Text/1714/text,"보보보, 보고 가십시오.",Mờ.. mời quý nhân xem qua ạ.
Text/1715/text,"..어, 어디. 이 물건이면 티켓 300장.. 받겠습니다.","..Ờ, ờm. Cái này 300 vé... kẻ hèn này xin nhận."
Text/1716/text,"그리고 또 계산하시는 게.. 아, 이거 말이군요.","Và quý nhân tính thêm món này... a, cái này ạ."
Choice/1717/text,これが何か分かる？,Cậu biết đây là gì không?
Text/1718/text,"네, 당연히 알고 있습니다.. 어째서 물으시는 건가요?","Vâng, dĩ nhiên kẻ hèn này biết... sao quý nhân lại hỏi vậy ạ?"
Choice/1719/text,知ってるんだ…,Cậu biết rồi cơ à...
Choice/171a/text,少し前までは知らなかったんじゃないかと思って。,Tôi nghĩ chắc trước giờ cậu có biết thứ này đâu.
Text/171b/text,? 상품을 관리하는 입장에서 자신이 어떤 물건을 다루고 있는지 아는 건 기본이라 생각합니다.,"Là người quản lý hàng, kẻ hèn này nghĩ biết món mình đang bán là điều cơ bản."
Text/171c/text,실제로 사용할 리 없던 물건도 고객에게 판촉할 정도는 알아햐 하니까요.,"Kể cả món chẳng bao giờ dùng thật, kẻ hèn này cũng phải biết để chào khách chứ ạ."
Text/171d/text,"이걸로 예를 들면, 신축성이 매우 뛰어나고 왠만하면 찢어지지 않는..","Ví dụ như cái này, độ co giãn rất tốt và hầu như không rách..."
Choice/171e/text,おお。,Ồ ồ.
Text/171f/text,..낱개 포장된 '풍선' 한 갑 입니다.,..Là một gói 'bong bóng' đóng gói riêng lẻ ạ.
Choice/1720/text,……？,......?
Text/1721/text,하지만 오해 마시길. 이건 놀이를 위한 장난감이 아닙니다.,Nhưng xin quý nhân đừng hiểu lầm. Đây không phải đồ chơi để giải trí đâu ạ.
Text/1722/text,이 재질은 의료용과 유사하게 인간 피부에 자극이 없도록 고안된 상품입니다. 그러니까..,"Chất liệu này được thiết kế không gây kích ứng da người, tương tự như y tế. Cho nên..."
Choice/1723/text,おおお。,Ồ ồ ồ.
Text/1724/text,위급시 덧신 혹은 방호복으로 사용할 수 있는 소모품인 것입니다. 혹은 물을 담아놓을 수 있는 수통으로..,"Là vật phẩm tiêu hao, dùng làm bao giày hay quần áo bảo hộ trong trường hợp khẩn cấp ạ. Hoặc làm bình đựng nước..."
Choice/1725/text,ちょっと待って…全然違うよ。,Khoan đã... sai hoàn toàn rồi.
Choice/1726/text,いや、部分的には合ってるんだけど…,"Đúng một phần, nhưng..."
Text/1727/text,네.. 네? 틀리다고요? 이건 그런 용도가 아닌 것입니까? 그치만 이건 아무리 봐도..,V.. vâng ạ? Sai ạ? Không phải thứ này dùng cho mục đích đó sao? Nhưng nhìn thế nào cũng thấy...
Choice/1728/text,これはコンドームっていうものだよ。,Cái này gọi là bao cao su đấy.
Choice/1729/text,セックスする時にちんぽにつけるやつ。,Đồ đeo vào con cặc lúc làm tình đó.
Text/172a/text,.....,.....
Text/172b/text,에에에에엣?!!,HẢ Ả Ả Ả Ả Ả?!!
Text/172c/text,"자, 자자자자 자지?!",C-c-cặc ư?!
Text/172d/text,"세, 세, 세세 섹스?!",L-l-làm tình ư?!
Text/172e/text,"마 말도 안됩니다! 어째서 이런 걸 그, 자지에 끼우는 건데요?!",V-vô lý! Sao lại đeo thứ này vào c-cặc chứ?!
Text/172f/text,"무, 무엇보다! 여러분들이 잔뜩 하는 동안 한번도 이걸 사용하는 걸 본 적 없습니다만?!","H-hơn nữa! Quý vị làm tình bao nhiêu lần rồi, chưa thấy ai xài cái này cả!"
Choice/1730/text,…そ、それは…えーっと…,...Đ-Đó là...!
Choice/1731/text,生の方が気持ちいいから…,Tại làm tình không đeo nó sướng hơn...
Text/1732/text,..전.. 아직 모르는 게 많았군요.. 여태까지 잘 안찢어지는 풍선 정도로 알고 있었습니다.,Kẻ hèn này quả còn nhiều thứ chưa biết... Trước giờ cứ tưởng là bong bóng khó rách thôi.
Text/1733/text,어째선지 미끌미끌하는 것도.. 안에서 더 잘 움직이려고.. 으읏..,Hèn gì nó trơn trượt... để động tác trong ấy dễ dàng hơn... Ừm...
Text/1734/text,입에 대고 불어대던 제 모습을 코니알님이 보곤 희미한 미소를 지었던 것도.. 이제는 이해가 갑니다.,"Cảnh kẻ hèn này lấy miệng thổi phồng nó, Konial đại nhân nhìn thấy rồi khẽ cười... giờ kẻ hèn này hiểu rồi."
Text/1735/text,이건.. 겨우 그런 용도가 아니었던 거군요..,Thì ra nó... đâu phải chỉ dùng làm cái đó...
Choice/1736/text,落ち込む必要ないよ。,Không cần phải cảm thấy thất vọng về điều đó.
Choice/1737/text,これから知っていけばいいんだから。,Sau này cậu tìm hiểu dần cũng được mà.
Text/1738/text,"!..저, 저번과 같은 말씀을.",!.. Là chuyện lần trước ạ.
Text/1739/text,"그, 그러고 보니! 역시 잊지 않으신 거죠..?",N-nhân tiện! Quý nhân vẫn không quên chứ ạ..?
Text/173a/text,"다시 올 때, 저번의 펠라치오. 다음 걸 알려 주신다고.. 저 그때부터 줄곧 긴장이 되어서..","Lúc quý nhân đi, vụ fellatio lần trước... quý nhân bảo sẽ chỉ bước tiếp... Kẻ hèn này hồi hộp từ bữa đó..."
Text/173b/text,저도 여러분들이 하던 것과 같은 걸 경험하게 될 거란 사실에 그만..,Nghĩ đến chuyện kẻ hèn này cũng sẽ được trải nghiệm như quý vị... nên...
Choice/173c/text,だからさっきから、見るからに緊張してたんだね。,Thảo nào trông cậu căng thẳng từ nãy đến giờ.
Text/173d/text,"네, 넷! 그야 당연하지 않습니까.. 레이나와 마이 님 모두, 무척이나 기분 좋아 보였으니까요..","V-vâng! Dĩ nhiên là vậy ạ... Reina đại nhân với Mai đại nhân, trông hai người sướng lắm mà..."
Text/173e/text,하지만 어떻게 말씀을 드려야 할지 몰라서 기다리고만 있었습니다..,Nhưng kẻ hèn này không biết mở lời thế nào nên chỉ đợi...
Choice/173f/text,チケットを作らなきゃいけないのは確かだけど…,"Đúng là phải tạo vé thật, nhưng..."
Choice/1740/text,強制するつもりはなかったから…,chỉ vì chúng ta cần tạo Vé...
Text/1741/text,무슨 말씀을..! 저라도 도움이 된다면 얼마든지 상관 없습니다..!,"Quý nhân nói gì vậy..! Chỉ cần giúp được quý nhân, kẻ hèn này bao nhiêu lần cũng được..!"
Text/1742/text,"저는 준비가 끝났으니까. 다, 당신만 괜찮으시다면.. 지금, 부탁드려도 될까요?","Kẻ hèn này đã chuẩn bị xong rồi. V.. vậy nếu quý nhân ổn thì... bây giờ, kẻ hèn này xin phép được không ạ?"
Text/1743/text,저와.. 섹스.. 해 주실 수 있으신가요?,Quý nhân có thể... làm tình... với kẻ hèn này không ạ?
Text/1744/text,…,...
