Type,EventID,Korean,Vietnamese,SourceFile,Line
mai,121,"이제부터는 도착 지점이 더 길어졌다고 했지? 난이도도 올라갔을테고..","Nãy cậu bảo từ giờ điểm đến xa hơn đúng không? Độ khó cũng tăng nữa...",chapter2_butler.dtl,113
mai,124,"고마워 집사!","Cảm ơn quản gia nhé!",chapter2_butler.dtl,120
mai,12c,"내 감으로는 이 근처인 거 같은데..","Linh tính của tớ mách là gần đây...",chapter3_ch_talk.dtl,10
mai,12d,"분명 사람의 소리였어. 전차 바깥에서 났는데.. 어떻게 사람 목소리일 수 있지?","Chắc chắn là tiếng người. Nghe từ bên ngoài toa tàu... nhưng sao có tiếng người được cơ chứ?",chapter3_ch_talk.dtl,11
mai,12f,"오오! 정신 차렸다!","Úi! Tỉnh rồi hả!",chapter3_start.dtl,7
mai,131,"와아~ 대단했지? 역시 역장이라고 하는 그 녀석. 심상치 않아.","Ghê thật nhỉ? Đúng là dân tự xưng trưởng tàu có khác. Không phải dạng vừa đâu.",chapter3_start.dtl,11
mai,135,"맞아! 완전 어이 없었지. 들어 봐!","Ừ ừ! Không thể tin nổi luôn. Nghe nè!",chapter3_start.dtl,16
narration,136,"기절한 동안 코니알이 말한 탈출 방법에 대해 전해 들었다.","Nghe kể lại cách thoát mà Konial nói lúc mình ngất.",chapter3_start.dtl,18
narration,137,"1000만 장이라는 갯수의 티켓을 모아야 한다는 것도..","Là phải gom tới 10 triệu vé ấy...",chapter3_start.dtl,19
mai,13a,"그렇지? 아무리 생각해도 터무니없어. 이것도 컨셉 플레이?","Đúng ha? Nghĩ thế nào cũng vô lý. Có phải là trò chơi nhập vai gì không?",chapter3_start.dtl,23
mai,13c,"핸드폰 시계도 이상해졌어.","Đồng hồ điện thoại cũng loạn.",chapter3_start.dtl,25
choice,13d,"믿을 수 밖에.","Chúng ta không có lựa chọn nào khác ngoài việc tin vào điều đó.",chapter3_start.dtl,26
mai,140,"전차가 계속해서 움직이고 있는 한 나가거나 들어오는건 무리니까.","Miễn tàu còn chạy thì ra vào gì cũng vô ích mà.",chapter3_start.dtl,29
mai,143,"응, 그거. 물론 탐색하는 틈틈히 계속 연락을 돌려 봤어. 그치만 '구조'에 관한 대화는 전부 이상한 내용으로 발송되는 거 있지?","Ừ, cái đó á. Tất nhiên tớ thử mãi lúc thám hiểm rồi. Nhưng hễ nói về 'cứu hộ' là nội dung biến thành thứ kỳ quặc gửi đi.",chapter3_start.dtl,34
mai,144,"덕분에 내 이미지도 완전 망쳐 버렸어..","Nhờ đó mà hình tượng của tớ bay sạch luôn...",chapter3_start.dtl,35
mai,148,"나도 마찬가지.. ..맞다! 아까 모두에게 말해 줄 게 있다고 했었지?","Tớ cũng thế... à đúng! Lúc nãy tớ bảo có chuyện muốn nói mọi người nhỉ?",chapter3_start.dtl,41
mai,14a,"헤헤, 그 상황에서는 말하면 안 될 거 같았거든. 코니알이 눈치채지 못 한 게 있을 거 같아.","Hehe, tớ nghĩ không nên nói lúc đó. Có vẻ Konial cũng có thứ không để ý.",chapter3_start.dtl,44
mai,14c,"응. 사실 코니알과 만나기 직전 칸에서 무언가 소리를 들었어. 아마 사람 소리였던 거 같아. 다급해 보였어.","Ừ. Thực ra trước khi gặp Konial, tớ nghe âm thanh lạ ở toa đó. Chắc là tiếng người. Nghe gấp lắm.",chapter3_start.dtl,48
choice,14d,"같이 오면서 전혀 듣지 못했는데..","Tôi không nghe thấy gì cả khi chúng tôi đi cùng nhau...",chapter3_start.dtl,49
mai,14e,"넌 탐색에 집중하고 있었으니까. 대부분의 이변을 혼자 찾아냈잖아? 덕분에 멍하니 출입문에 기대고 있었더니..","Cậu tập trung thám hiểm mà. Toàn tự tìm ra dị biến. Nhờ đó tớ mới rảnh dựa cửa...",chapter3_start.dtl,50
mai,150,"앗, 미 미안.. 그치만 열릴 리 없으니 봐줘. 헤헤.. 아무튼 기댄 문 '밖'에서 소리가 들려 온 거 있지?","A xin lỗi... nhưng có mở ra được đâu mà. Hehe... tóm lại tiếng nghe từ 'ngoài' cánh cửa tớ dựa ấy.",chapter3_start.dtl,54
mai,152,"맞아. 틈새에 귀를 대니 더 확실하게 들렸어.","Ừ. Áp tai vào khe nghe còn rõ hơn.",chapter3_start.dtl,57
mai,154,"그치? 나도 이변의 하나일까 생각했지만.","Đúng ha? Tớ cũng nghĩ chắc là dị biến.",chapter3_start.dtl,59
choice,155,"그때 내가 찾아낸 이변은 다른 거였어.","Điều bất thường mà tôi nhận thấy lúc đó là một cái gì đó khác hẳn.",chapter3_start.dtl,60
mai,156,"그러니까 말야. 이제와서 생각해 보니 계속 마음에 걸려.","Chính vậy. Giờ nghĩ lại thấy cứ vướng mãi.",chapter3_start.dtl,62
mai,15a,"코니알이 알아채기 전에 찾아내야 한다는 거네.. 가능할까?","Phải tìm ra trước khi Konial để ý chứ... nhưng liệu có được không?",chapter3_start.dtl,68
choice,15b,"탐색은 나한테 맡겨.","Cứ giao thám hiểm cho tôi.",chapter3_start.dtl,69
choice,15c,"너희에겐 그 목소리를 찾는 걸 맡길게.","Tôi nhờ hai cô tìm giọng nói đó nhé.",chapter3_start.dtl,70
mai,15d,"오.. 좀 멋진걸. 그치?","Ồ... hơi ngầu đấy chứ. Nhỉ?",chapter3_start.dtl,72
mai,15f,"맞아! 나 혼자였다면 어땠을지.. 상상만 해도..","Chuẩn! Tớ mà một mình thì không biết thế nào nữa...",chapter3_start.dtl,76
mai,164,"응? 난 완전 좋았는데.","Hả? Tớ thấy sướng lắm mà.",chapter3_start.dtl,83
mai,166,"그게 말이지. 나라도 아무리 성욕이 쌓여도 아무하고나 하진 않는걸. 오히려 더 까다롭달까.","Mà nói thật, tớ dù có dồn dục đến mấy cũng đâu phải ai cũng chịu được. Ngược lại còn kén hơn ấy.",chapter3_start.dtl,86
mai,167,"근데 너하고 하는건 좋아! 자위보다 몇배는 기분 좋거든. 딱히 정념 때문에 어쩔수 없이 하는 거 아니야.","Nhưng làm với cậu thì tớ thích! Sướng hơn tự xử nhiều. Không phải tại tình niệm gì bắt buộc đâu.",chapter3_start.dtl,87
mai,16b,"뭐야! 레이나 짱.. 혼자 있을때 자위한 거야?","Gì! Reina cũng... tự xử hồi ở một mình hả?",chapter3_start.dtl,93
mai,16e,"그래! 뭣하면 전차에서 나간 후에 확인해 보면 되지! 나간 후에도 서로 만날 수 있잖아? 꽤나 가까이 살고 있는거 같고.","Phải đó! Nếu lo thì xuống tàu xác nhận sau! Ra ngoài vẫn gặp nhau được mà? Có vẻ ở gần nhau.",chapter3_start.dtl,100
mai,172,"헤헤. 기대하라고. 절대 정념 따위에 휘둘리지 않으니까.","Hehe. Chờ đó nha. Nhất định không để tình niệm gì chi phối đâu.",chapter3_start.dtl,107
mai,173,"하지만 적어도 여기 있는 동안은 그 녀석이 말한 대로 즐기면 될 거라 생각해.","Nhưng ít nhất lúc mắc kẹt ở đây, tớ nghĩ cứ tận hưởng tình huống như con nhỏ đó nói.",chapter3_start.dtl,109
mai,177,"코니알과 만나기 직전이니까.. 생각보다 깊은 곳에 있을 거야.","Ngay trước lúc gặp Konial nên chắc ở khá xa.",chapter3_start.dtl,115
mai,17e,"응.. 그치만 어느정도 느낌이 비슷해 지고 있어.","Ừ... nhưng không hiểu sao... tớ cứ có cảm giác sắp tới nơi giống như vậy rồi ấy.",chapter3_talk.dtl,13
choice,17f,"느낌이라고?","Cảm giác... là sao?",chapter3_talk.dtl,14
mai,181,"글쎄.. 그렇다기보단 감 일까나.","Hửm... không hẳn, nói thẳng là linh cảm.",chapter3_talk.dtl,17
mai,183,"응, 가챠 게임을 할때, 열장의 뒤집어진 카드 중에서 유독 느낌이 좋은 카드가 있잖아?","Ừ, lúc quay gacha ấy, mười lá bài úp có một lá cứ thấy 'toẹt' ra ấy.",chapter3_talk.dtl,20
mai,184,"난 그런 걸 꽤 잘 맞춰. 친구들의 가챠 버튼을 대신해서 눌러주면 대부분이 레어가 뽑히거든.","Tớ hay trúng mấy vụ đó lắm. Toàn bấm gacha hộ cậu là ra rare.",chapter3_talk.dtl,21
choice,185,"나중에 내 것도 부탁할게","Lần sau nhờ cậu luôn.",chapter3_talk.dtl,22
mai,186,"응! 맡겨 줘! ..어쨌든 이 전차도 그런 느낌으로 찾고 있단 말이지.","Ừ! Bao! Nói chung tớ cũng tìm tàu này theo kiểu đó.",chapter3_talk.dtl,24
mai,187,"앞으로 세번 후면 당첨이다! 라는 마음으로, 꽝, 꽝, 꽝. 그리고 이번 칸이 당첨이야. 내 생각에는.","Kiểu 'ba lần nữa là trúng!' tạch, tạch, tạch. Rồi toa này là trúng. Cảm giác của tớ thế.",chapter3_talk.dtl,26
mai,18b,"응. 한번 꼼꼼히 찾아 보자!","Ừ. Tìm cho kỹ nào!",chapter3_talk.dtl,31
mai,18e,"...","...",chapter3_talk2.dtl,5
choice,18f,"...","...",chapter3_talk2.dtl,6
mai,191,"..사람?","...Một người?",chapter3_talk2.dtl,12
choice,192,"사람이 창밖에 매달려 있어!","Có người bám ngoài cửa sổ!",chapter3_talk2.dtl,13
narration,193,"'죄송합니다! 저.. 사.. 살려 주세요!'","Xin lỗi! Làm ơn... cứu tôi với!",chapter3_talk2.dtl,19
mai,194,"아! 맞아! 이 소리였어! 역시 틀리지 않았구나!","A! Đúng! Giọng này! Quả nhiên linh tính của tớ không sai mà!",chapter3_talk2.dtl,21
mai,198,"그치만. 창 밖에 매달린 사람을 어떻게? 이곳 문은 절대 열리지 않는데.. 창문을 깰까?","Nhưng mà cứu người bám ngoài cửa sổ kiểu gì? Cửa này không mở đâu... đập kính à?",chapter3_talk2.dtl,27
narration,199,"아.. 안 돼요! 위험해요! 유리 파편이 튀면 여러분이 다친다고요!","K-không! Nguy hiểm! Mảnh kính bay sẽ làm mọi người bị thương!",chapter3_talk2.dtl,28
mai,1a6,"있지만?","Được nhưng...?",chapter3_talk2.dtl,45
mai,1aa,"면허라면.. 굳이 없어도 사용할 수 있는 거 아냐?","Giấy phép thì... không có vẫn dùng quyền năng được chứ?",chapter3_talk2.dtl,52
mai,1ac,"꽤나 도덕적이구나. 그럼 그 지갑을 우리가 찾아 주면 된다는 거지?","...Kỹ tính nhỉ. Vậy tụi tớ tìm cái ví đó cho cậu là được chứ gì?",chapter3_talk2.dtl,55
mai,1af,"지금까지 여기 있으면서 지갑 같은건 보지 못했어.","Ừ. Từ lúc ở đây chưa thấy cái ví nào.",chapter3_talk2.dtl,61
mai,1b1,"그걸 우리한테 물어도.. 너무 걱정하지 마. 탐색하는 겸사겸사 찾아볼게?","Đừng hỏi tụi này... mà đừng lo quá. Tụi này thám hiểm tiện thể tìm cho.",chapter3_talk2.dtl,65
mai,1b8,"응? 정말이야?","Hả? Thật sự?",chapter3_talk2.dtl,73
choice,1b9,"마침 나도 잃어버린 게 있어.","Trùng hợp là tôi cũng có đồ bị mất.",chapter3_talk2.dtl,74
mai,1bc,"으응..? 핸드폰이 왜?","Ừm? Còn điện thoại thì sao?",chapter3_talk2.dtl,83
choice,1bd,"역에서 분실물을 주으면 보통..","Ở ga thì đồ thất lạc thường...",chapter3_talk2.dtl,84
mai,1be,"음.. 본인을 찾긴 어렵고 시간도 없으니까 분실물 센터에 맡기지 않을까?","Ừm... Khó tìm được chủ nhân mà cũng không có thời gian nữa, hay là bọn mình mang gửi ở phòng báo mất đồ nhỉ?",chapter3_talk2.dtl,86
mai,1c0,"집사? 시작 칸에서 티켓을 교환해주는 녀석?","Quản gia? Anh chàng ở chiếc xe đầu tiên đổi vé?",chapter3_talk2.dtl,89
mai,1c8,"아앗! 그렇구나! 교환샵에서 봤을 때는 지갑이나 핸드폰 같은건 없었으니까. 모아서 어딘가에 버렸으려나? 그걸 어떻게 찾지?","À! Đúng rồi! Hồi xem tiệm không thấy ví hay điện thoại. Gom lại vứt đâu đó hả? Vậy tìm thế nào?",chapter3_talk2.dtl,99
choice,1c9,"일단 집사에게 분실물들의 처분 위치를 알아내고..","Trước hết, hỏi quản gia cách xử lý đồ vô dụng...",chapter3_talk2.dtl,100
choice,1ca,"마이가 내 핸드폰으로 전화를 걸다 보면..","Mai thử gọi vào điện thoại của tôi...",chapter3_talk2.dtl,101
mai,1cb,"응? .. 아! 이해했어!","Hửm?...Ồ! Tôi hiểu rồi!",chapter3_talk2.dtl,103
mai,1cc,"전화벨이 울리는 곳을 찾아 내면 핸드폰과 같이 버린 지갑을 찾아 낼 수 있다는 거구나. 잊어버린 시기는 비슷하니까!","Tìm chỗ chuông reo là ra cái ví bị vứt cùng điện thoại! Lỡ mất cũng cùng lúc mà!",chapter3_talk2.dtl,105
mai,1d0,"뭐? 여기서 떨어지면 다시 찾아 올 수 있는 거야?","Hả? Rơi đây rồi vẫn quay lại được à?",chapter3_talk2.dtl,113
mai,1d5,"얼른 찾아야겠네. 분실물..","Phải tìm nhanh mới được... đồ thất lạc...",chapter3_talk2.dtl,121
mai,1e3,"..아는 사이?","...Hai người biết nhau à?",chapter3_talk2.dtl,150
mai,20b,"어떡하지? 파주주.. 저렇게나 당했는데.. 다시 만날 수 있는 거야?","Giờ tính sao? Pazuzu... bị đánh tan tác thế kia... còn gặp lại được không nhỉ?",chapter3_talk2.dtl,251
choice,20c,"하지만 방법이 이것밖엔 없으니까..","Nhưng giờ cũng đâu còn lựa chọn khác...",chapter3_talk2.dtl,252
mai,20e,"그렇네.. 어쩔 수 없는 거구나.","Ừ nhỉ... đành chịu thôi.",chapter3_talk2.dtl,255
choice,20f,"돌아가면 내 핸드폰을 찾을 계획을 구체적으로 세우자.","Khi chúng ta quay lại, hãy cùng nhau lập một kế hoạch cụ thể để tìm điện thoại của tôi.",chapter3_talk2.dtl,256
mai,217,"그러게.. 저기, 혹시 물품 중에 핸드..","Ừ nhỉ... này, nhân tiện, quản gia có điện thoại...",chapter4_butler.dtl,11
mai,219,"응? 왜 그래?","Hử? Sao thế?",chapter4_butler.dtl,20
mai,21c,"그러네.. 선수를 뺏기면 파주주를 들여올 방법이 없어져.","Vậy hả... bị biết trước thì mất cơ hội đưa Pazuzu vào.",chapter4_butler.dtl,25
mai,221,"몇번이고 모은 물건들이 불태워 지는데도 못 고친 버릇이라고 했어.","Hắn bảo dù bị Konial đốt đồ nhiều lần vẫn không bỏ được bản tính mà.",chapter4_butler.dtl,32
mai,226,"그치만.. 전차 내부라면 코니알이 이미 알고 있을 거 같은데..","Nhưng... nếu nó ở trong tàu, chẳng phải Konial đã biết về nó rồi sao?",chapter4_butler.dtl,39
mai,229,"그렇구나! 집사에게 그 위치를 알아내면 되는 거지?","Ra vậy! Hỏi quản gia là ra chỗ đó chứ gì?",chapter4_butler.dtl,43
choice,22a,"나한테 생각이 있어.","...Tớ có cách.",chapter4_butler.dtl,44
mai,22e,"있잖아. 이 물건들 외에 다른 종류는 없어?","Này này. Ngoài mấy món này còn đồ khác không?",chapter4_butler.dtl,60
mai,230,"예를 들어.. 어디든지 이동할 수 있는 문이라던가.. 시간을 멈추는 타이머라던가.. 역시 그 정도는 무리겠지?","Ví dụ... cửa đi khắp nơi... đồng hồ ngừng thời gian... tới mức đó chắc không nổi ha?",chapter4_butler.dtl,63
mai,232,"지금으로썬? 불가능은 아니란 거야?","Hiện tại? Vậy không phải hoàn toàn không thể?",chapter4_butler.dtl,65
mai,234,"으음~ 그렇구나.. 솔직히 말하면 여기 물건들중엔 맘에 드는 게 없어서.","Hmm... tôi hiểu rồi... Thành thật mà nói, không có gì ở đây thực sự thu hút tôi cả.",chapter4_butler.dtl,67
mai,236,"가격도 너무 비싸고. 그에 비해 효과는 약한 걸. 역시 잡동사니여서 어쩔 수 없는 걸까나? 하핫!","Giá thì mắc, mà hiệu ứng thì yếu. Chắc tại toàn đồ linh tinh nên chịu thôi nhỉ? Haha!",chapter4_butler.dtl,71
mai,237,"(..이렇게 말하면 된다고 했지?)","(...Nói thế này là đúng ha?)",chapter4_butler.dtl,72
mai,24d,"(..통한 거 같은데?)","(...Có vẻ trúng đấy chứ?)",chapter4_butler.dtl,106
mai,250,"역시!","Quả nhiên!",chapter4_butler.dtl,110
mai,254,"나도 집사랑 더 친해지고 싶어. 어쩌면 우리가 그 컬렉션을 지켜낼 수 있게 도울 수도 있잖아?","Tớ cũng muốn thân với quản gia hơn. Biết đâu tụi tớ có thể giúp giữ cái bộ sưu tập đó?",chapter4_butler.dtl,119
mai,257,"이럴 수가..","Sao cơ...",chapter4_butler.dtl,123
mai,260,"정보? 그런 건 일일히 기록하지 않았는데..","Thông tin? Tụi tớ có ghi chép chi tiết đâu...",chapter4_butler.dtl,138
mai,263,"20개라.. 지금까지 얼마나 찾아냈지?","20 cái à... tới giờ tìm được bao nhiêu rồi nhỉ?",chapter4_butler.dtl,142
mai,26e,"생각보다 나쁜 성격은 아닌 거 같아.","Có vẻ tốt hơn tưởng tượng nhỉ.",chapter4_butler.dtl,160
choice,26f,"코니알의 밑에서 고생이 많아 보여.","Dưới tay Konial chắc cực nhỉ.",chapter4_butler.dtl,161
mai,271,"..그럼 일단 작전대로 된 건가?","...Vậy, mọi việc có diễn ra theo đúng kế hoạch không?",chapter4_butler.dtl,163
choice,272,"분실물들이 전차 안에 있다는 것과","Đồ thất lạc vẫn còn trong tàu...",chapter4_butler.dtl,164
choice,273,"그곳을 찾아 낼 수 있는 방법을 알았으니까.","Và biết cách tìm ra chúng.",chapter4_butler.dtl,165
mai,275,"파주주.. 그때까지 잘 버틸 수 있겠지?","Pazuzu... cậu ấy trụ được tới lúc đó chứ?",chapter4_butler.dtl,169
choice,276,"어서 서둘러야겠어.","Phải nhanh lên.",chapter4_butler.dtl,170
mai,27b,"아껴가면서 모은 거야. 근데 이정도로 많은 티켓이 필요해? 다른 물품들은 이정도로 비싸진 않았는데.","Tích cóp mãi mới được đấy. Mà cần nhiều vé thế à? Món khác có đắt thế này đâu.",chapter4_butler2.dtl,17
mai,28a,"어째서?! 노브라로 다니면 가슴 쳐진다고.","Sao chứ!? Không mặc áo ngực đi lại thì ngực chảy xệ đấy!",chapter4_butler2.dtl,39
mai,28b,"..아~ 혹시 그런 모습을 보고 싶어서? 그런 거라면 언제든지 말하면 된다고~ 히히.","...Ồ, chẳng lẽ muốn xem dáng đó hả? Nếu thế thì nói lúc nào chẳng được ~ hihi.",chapter4_butler2.dtl,41
mai,28d,"..그렇다는데? 아쉽게 됐어.","...Nghe thấy chưa? Tiếc nhỉ?",chapter4_butler2.dtl,44
choice,28e,"나의.. 털?","Tóc... của tôi?",chapter4_butler2.dtl,47
mai,291,"위 아래 상관 없어?","Trên hay dưới cũng được hả?",chapter4_butler2.dtl,52
mai,294,"그치? 나도 조금 놀랐어.","Phải ha? Tớ cũng hơi bất ngờ đấy.",chapter4_butler2.dtl,55
mai,297,"말 그대로 어떤 것이든 된다니까 결정하기 더 어려운 걸.","Nói cái gì cũng được thì lại khó chọn hơn ấy nhỉ.",chapter4_butler2.dtl,64
mai,29e,"응? 아, 이 스마트폰 말하는거야?","Ừm? Á, ý cậu là chiếc điện thoại này?",chapter4_butler2.dtl,72
mai,2a1,"으음.. 그건 아쉽지만. 모두를 위해서라면 어쩔 수 없지. 여기서 나가지 못하면 아무 소용도 없는 것들이니까!","Ừm... hơi tiếc, nhưng vì mọi người thì chịu thôi. Nếu không ra được thì mấy thứ đó cũng vô dụng!",chapter4_butler2.dtl,77
mai,2a3,"맞아. 본 적 없구나? 멀리 있는 상대와 대화하거나 영상을 볼 수도 있어.","Đúng đúng. Chưa thấy bao giờ hả? Có thể nói chuyện với người xa, chụp ảnh, xem video.",chapter4_butler2.dtl,80
mai,2a7,"정말? 그럼 다행이네! 어서 확인해 보자.","Thật á? Thế là nhẹ nhõm rồi! Thử đi thử đi!",chapter4_butler2.dtl,85
mai,2a8,"자! 내 스마트폰. 잘 부탁할게.","Đây! Điện thoại của tớ. Nhờ cậu đấy!",chapter4_butler2.dtl,87
mai,2b6,"오오 고마워!","Ồ, cảm ơn!",chapter4_butler2.dtl,114
choice,2b7,"고생했어 집사.","Vất vả rồi, quản gia.",chapter4_butler2.dtl,115
mai,2b9,"오옷? 액정이 깨끗해! 기스도 없어졌잖아?","Oa! Màn hình sạch bong! Vết xước cũng hết rồi kìa!",chapter4_butler2.dtl,118
mai,2bb,"정말이네? 보호 필름이 새로 씌워졌어. 대단해!","Thật luôn! Miếng dán mới tinh. Ghê thật đấy!",chapter4_butler2.dtl,121
mai,2bd,"내부에? 어디 보자.. 아! 어플리케이션이 추가됐네?","Bên trong? Đâu... á! Có app mới kìa!",chapter4_butler2.dtl,125
choice,2be,"이름이.. '칸칸네비'?","Tên là... 'ToaToa-Navi'?",chapter4_butler2.dtl,126
mai,2c5,".. 뭔가 분위기가 이상한데.","...Sao bầu không khí là lạ thế nhỉ.",chapter4_butler3.dtl,13
mai,2d0,"..설마.. 티켓을 이용한 걸 들킨 거야?","Chết... bị phát hiện họ dùng vé rồi à?",chapter4_butler3.dtl,37
mai,2e8,"자자~ 일단 대화로 하자..?","Thôi thôi~ nói chuyện từ từ đi mà...?",chapter4_butler3.dtl,79
mai,2ed,"(..? 우리는 분명 2000장..)","(...? Tụi tớ chỉ đưa có 2000 vé thôi mà... hắn thổi phồng lên à?)",chapter4_butler3.dtl,90
mai,2f1,"맞아. 결국 수천만장을 모야야 하잖아.","Phải? Cuối cùng phải gom mấy chục triệu vé mà.",chapter4_butler3.dtl,101
mai,2f7,"그래! 이변은 더 까다로워지는데 이젠 집사가 없으면 도저히 탐색할 수 없을 정도라고.","Phải đó! Dị biến càng ngày càng khó nhằn, giờ thiếu quản gia là không thám hiểm nổi luôn.",chapter4_butler3.dtl,116
mai,2f8,"코니알 너도 조금이라도 더 빨리 많은 양의 티켓을 모으고 싶어하잖아?","Konial ngươi cũng muốn gom nhiều vé nhanh hơn mà đúng không?",chapter4_butler3.dtl,118
choice,2f9,"그러니 죽이는 건 그만 둬.","Vì thế hãy dừng việc giết chóc lại.",chapter4_butler3.dtl,119
mai,30a,"..미쳤어.","...Điên thật rồi.",chapter4_butler3.dtl,154
mai,323,"바로 엄청 커졌잖아!","Lẹ thật! Đã to lên hẳn rồi kìa!",chapter4_butler3.dtl,207
mai,32f,"가 버렸네. 항상 뭐가 저리 바쁜거야?","Và cô ấy đã biến mất. Mà cô ấy luôn bận rộn với việc gì vậy?",chapter4_butler3.dtl,236
mai,332,"애초에 우리를 도우려 한 거잖아.","Ngay từ đầu cậu định giúp tụi tớ mà.",chapter4_butler3.dtl,244
choice,333,"나야말로 고마워.","Anh mới là người cảm ơn.",chapter4_butler3.dtl,245
