key,en,jp,ko,zh,cn
<!MissingKey:38:Really? That's a relief then! Let's try it out!>,Really? That's a relief then! Let's try it out!,マジで？それならアプリのインストールって感じで、かなりいい感じじゃん！早くやってみよ！,정말? 그럼 다행이네! 어서 확인해 보자.,真的嗎？那就太好了！快點來試試看吧！,真的吗？那就太好了！快点来试试看吧！
"<!MissingKey:39:With your hot cock, relentlessly... Aahh...>","With your hot cock, relentlessly... Aahh...",大きい…熱いおちんちんで…存分に…あぁっ…,뜨거운 자지로 사정없이.. 아앗..,用滾燙的陰莖毫不留情地……啊啊……！,用滚烫的阴茎毫不留情地……啊啊……！
<!MissingKey:40:I've got tons of cute swimsuits I can only show you. Hehe.>,I've got tons of cute swimsuits I can only show you. Hehe.,あんたにだけ見せられる可愛い水着いっぱいあるからさ。へへっ…,너에게만 보여줄 수 있는 이쁜 수영복들이 많으니까. 헤헤.,有好多漂亮的泳裝只給你一個人看呢，嘿嘿。,有好多漂亮的泳装只给你一个人看呢，嘿嘿。
,,,,,
"<!MissingKey:42:...So, should we start the exploration now?>","...So, should we start the exploration now?",…じゃあ、そろそろ探索を始めようか？,..그럼 이제 탐색을 시작하면 될까?,……那麼現在可以開始探索了嗎？,……那么现在可以开始探索了吗？
"<!MissingKey:43:Saying that, Reina lifts her body slightly. My cock, pinned beneath her, slowly rises to point at the ceiling.>","Saying that, Reina lifts her body slightly. My cock, pinned beneath her, slowly rises to point at the ceiling.",そう言いながら、怜奈はそっと身体を持ち上げる。彼女の下に押さえつけられていたちんぽもゆっくりと持ち上がり、天井を向いた。,그렇게 말하며 레이나는 몸을 살짝 들어올린다. 그녀의 밑에 눌려있던 자지도 서서히 들리며 천장을 향한다.,她這麼說著，微微抬起，被壓在她身下的肉棒也緩緩抬起，指向天花板。,她这么说着，微微抬起，被压在她身下的肉棒也缓缓抬起，指向天花板。
"<!MissingKey:44:I want to stay like this... with you still inside me, just for a little while.>","I want to stay like this... with you still inside me, just for a little while.",このまま…繋がったまま…もう少し…こうしていたいんです…,이대로.. 넣은 채로 잠시 있고 싶어요.,就這樣……讓它留在裡面一會兒吧。,就这样……让它留在里面一会儿吧。
"<!MissingKey:45:For Mai's sake, bouncing around with joy like she is, I should check it thoroughly.>","For Mai's sake, bouncing around with joy like she is, I should check it thoroughly.",ぴょんぴょん跳ねて喜んでる舞のためにも、注意深くチェックしてみよう。,방방 뛰며 기뻐하는 마이를 위해서라도 주의깊게 체크해 보자.,（為了開心得蹦蹦跳跳的舞，我也得仔細確認一下才行。）,（为了开心得蹦蹦跳跳的舞，我也得仔细确认一下才行。）
<!MissingKey:46:What do you two think?>,What do you two think?,お前たちはどう思う？,너희들 생각은?,你們覺得呢？,你们觉得呢？
<!MissingKey:47:Wait a moment... Pazuzu definitely said she found this train easily. And that she's come back many times.>,Wait a moment... Pazuzu definitely said she found this train easily. And that she's come back many times.,ちょっと待ってください……パズズさんは確かにこの電車を簡単に見つけ出したと言っていました。何度も戻って来た…とも。,잠깐만요.. 파주주는 분명 이 전차를 손쉽게 찾아냈다고 했어요. 몇번이고 되돌아 왔고요.,請等一下……帕祖祖明明說過她輕而易舉就找到了這輛電車，還說來過很多次。,请等一下……帕祖祖明明说过她轻而易举就找到了这辆电车，还说来过很多次。
"<!MissingKey:48:...Getting the smoke out this time is going to be such a hassle. Well then, farewell. Thanks for your service, Butler.>","...Getting the smoke out this time is going to be such a hassle. Well then, farewell. Thanks for your service, Butler.",…今回は煙を抜くのに苦労しそうだ。では、ご苦労だったな、執事。,..이번엔 연기 빼려면 고생 좀 하겠네. 그럼 잘 가. 고생했어. 집사.,……這次要排煙可得費點功夫呢。那就再見啦，辛苦了，執事。,……这次要排烟可得费点功夫呢。那就再见啦，辛苦了，执事。
<!MissingKey:49:I brought everything you asked for.>,I brought everything you asked for.,頼まれたもの、全部持ってきたよ。,요청한 것들을 모두 가져왔어.,你要求的東西，我全都帶來了。,你要求的东西，我全都带来了。
"<!MissingKey:50:This was a side of Mai I'd never seen—bashful and vulnerable, so unlike her usual self.>","This was a side of Mai I'd never seen—bashful and vulnerable, so unlike her usual self.",いつもとは違う、恥ずかしがり屋な舞だった。,원래 모습과는 다른 부끄럼 많은 마이였어.,這是與平常完全不同、害羞的舞。,这是与平常完全不同、害羞的舞。
,,,,,
<!MissingKey:52:Yeah. They were like station names.>,Yeah. They were like station names.,そうそう。まるで駅名みたいだったよね。,맞아. 마치 역 이름 같았어.,對耶，感覺就像車站名一樣。,对耶，感觉就像车站名一样。
<!MissingKey:53:Y-you're back...>,Y-you're back...,戻ってきたんですね…,돌아오셨군요..,各、各位回來了啊……,各、各位回来了啊……
<!MissingKey:54:...>,...,…,...,……,……
<!MissingKey:55:It'd be faster to ask if there's any animal I DON'T like. That's how much I love them all!>,It'd be faster to ask if there's any animal I DON'T like. That's how much I love them all!,好きじゃない動物がいるか聞いた方が早いよ！それくらい動物なら大抵なんでも好きだからさ。,좋아하지 않는 동물이 있냐고 묻는 편이 빠를 거야. 나 그 정도로 모든 동물들을 좋아하거든.,你應該問我有沒有不喜歡的動物才對啦，我可是平等地喜歡所有動物喔！,你应该问我有没有不喜欢的动物才对啦，我可是平等地喜欢所有动物喔！
"<!MissingKey:56:So soft and squishy they'll slip away if you don't squeeze tight, right?>","So soft and squishy they'll slip away if you don't squeeze tight, right?",ぎゅって握ってないとこぼれ落ちそうなくらい…柔らかくてプニプニっしょ？,꽉 쥐지 않으면 흘러 내릴 정도로 부드럽고 말랑하지?,不抓緊的話就會滑掉，超軟超Q彈的對吧？,不抓紧的话就会滑掉，超软超Q弹的对吧？
"<!MissingKey:57:And mated with Reina like animals, taking her over and over... or at least that's how it felt.>","And mated with Reina like animals, taking her over and over... or at least that's how it felt.",獣みたいな交尾で怜奈を激しく何度も犯し続けた…ような気がする。,짐승같은 교미로 레이나를 수차례 범한.. 느낌이 든다.,用野獸般的交配方式將怜奈侵犯了好幾次……我好像有這種感覺。,用野兽般的交配方式将怜奈侵犯了好几次……我好像有这种感觉。
<!MissingKey:58:...Guess once wasn't enough then.>,...Guess once wasn't enough then.,…一回だけじゃ足りないってことね。,..이러면 한번으로는 부족하겠네.,……這樣的話一次怎麼夠呢？,……这样的话一次怎么够呢？
"<!MissingKey:59:""Ahem."">","""Ahem.""",『あーあー』,'아-아',「啊——啊——」,「啊——啊——」
<!MissingKey:60:...>,...,…,...,……,……
"<!MissingKey:61:Huh? Don't tell me you don't remember? Oh! Right, you're a bird, so your memory's probably...>","Huh? Don't tell me you don't remember? Oh! Right, you're a bird, so your memory's probably...",えっ…？覚えてないってマジ？あ！やっぱ鳥だったから記憶力が…,뭐? 기억 못하는 거야 설마? 아! 역시 새라서 기억력이..,什麼？該不會不記得了吧？啊！難道因為是鳥，所以記性……,什么？该不会不记得了吧？啊！难道因为是鸟，所以记性……
"<!MissingKey:62:Then, she places both hands on the floor, presses her head down, and prostrates herself.>","Then, she places both hands on the floor, presses her head down, and prostrates herself.",そのまま、両腕を床につき、頭を床に近づけてうつ伏せになる。,"그대로, 두 팔을 바닥에 짚으며 머리를 바닥에 붙인 뒤 엎드린다.",就這樣，雙手撐地，額頭貼著地板，整個人趴了下去。,就这样，双手撑地，额头贴着地板，整个人趴了下去。
"<!MissingKey:63:You were talking with Konial about something earlier, right? Was it important?>","You were talking with Konial about something earlier, right? Was it important?",さっきコニアルと何か話してたじゃん、なんか大事なこと？,"아까 코니알하고 뭔가 얘기하던데, 중요한 거야?",剛才你好像在跟柯尼亞爾說些什麼，是重要的事嗎？,刚才你好像在跟柯尼亚尔说些什么，是重要的事吗？
<!MissingKey:64:...The gratitude should be mine. I never expected to receive encouragement from humans. Mistress Konial only ever saw them as garbage...>,...The gratitude should be mine. I never expected to receive encouragement from humans. Mistress Konial only ever saw them as garbage...,……こちらこそ。人間の方々に応援していただけるとは思いませんでした。コニアル様は…あれらをただのゴミとしかお思いになりませんでしたから…,..저야말로. 인간들에게 응원을 받을 줄은 몰랐습니다. 코니알님은 그것들을 그저 쓰레기라고만 생각하셨으니까요..,……鄙人才要道謝。沒想到會受到人類的鼓勵，柯尼亞爾大人向來只把那些東西當垃圾……,……鄙人才要道谢。没想到会受到人类的鼓励，柯尼亚尔大人向来只把那些东西当垃圾……
,,,,,
<!MissingKey:66:I-I can send you back... to the starting point...>,I-I can send you back... to the starting point...,わたしが開始地点へ…お戻ししますね…,제가 시작 지점으로.. 돌려보내 드릴게요..,讓、讓我送您回起始點吧……,让、让我送您回起始点吧……
"<!MissingKey:67:Butler, you're truly so kind. Thank you very much.>","Butler, you're truly so kind. Thank you very much.",執事さんは本当に親切ですね。ありがとうございます。,집사님은 정말 친절하세요. 감사합니다.,執事真的好親切啊，非常感謝您。,执事真的好亲切啊，非常感谢您。
<!MissingKey:68:...I'm not planning to get revenge on Pazuzu. It's not my business to interfere.>,...I'm not planning to get revenge on Pazuzu. It's not my business to interfere.,…我はパズズに復讐する気はない。余計な手出しをするつもりもない。,..난 파주주에게 복수할 생각 없어. 참견할 필요도 없고.,……我沒打算向帕祖祖復仇，也沒必要插手。,……我没打算向帕祖祖复仇，也没必要插手。
"<!MissingKey:69:Right, I've told you everything you need to know! From here on, it's the real deal. For starters, as a warm-up, find the anomalies until you reach the fifth car.>","Right, I've told you everything you need to know! From here on, it's the real deal. For starters, as a warm-up, find the anomalies until you reach the fifth car.",説明は以上！ここからが本番だ。まずは肩慣らしに…5番目の車両まで異変を探してみるといい。,그럼 설명은 여기까지! 이제부터 시작이야. 우선은 몸풀기로 5번째 칸까지 이변을 찾아나가면 돼.,那麼說明就到這裡！現在要開始囉～當作暖身，只要找到第5節車廂為止的異變就行了。,那么说明就到这里！现在要开始啰～当作暖身，只要找到第5节车厢为止的异变就行了。
<!MissingKey:70:...>,...,…,...,……,……
,,,,,
"<!MissingKey:72:Oh right, talking about animals reminded me! I picked this up during Exploration... want to take a look?>","Oh right, talking about animals reminded me! I picked this up during Exploration... want to take a look?",そうだ、動物の話してたら思い出した。これ、探索中に拾ったんだけど…ちょっと見てくんない？,"맞다, 동물 이야기를 하니까 떠올랐어. 탐색하던 중에 주운 건데.. 한번 확인해 볼래?",啊對了，說到動物我想起來了。這是我探索時撿到的……要不要看一下？,啊对了，说到动物我想起来了。这是我探索时捡到的……要不要看一下？
"<!MissingKey:73:Konial, everything you proposed was a lie. You were planning to trap us in this train forever, weren't you?>","Konial, everything you proposed was a lie. You were planning to trap us in this train forever, weren't you?",コニアルさん、あなたが提案したことは全部嘘でしたよね。私たちを永久にこの電車に閉じ込めて利用するつもりだったんでしょう？,코니알 당신이 제안한 건 모두 거짓말이었어요. 저희를 평생 이 전차 안에 가둘 셈이었죠?,柯尼亞爾妳提議的一切全都是謊言，妳打算把我們永遠關在這列電車裡對吧？,柯尼亚尔妳提议的一切全都是谎言，妳打算把我们永远关在这列电车里对吧？
"<!MissingKey:74:With a sweet sigh, our tongues intertwine as my hand slowly slips under Mai's top.>","With a sweet sigh, our tongues intertwine as my hand slowly slips under Mai's top.",甘いため息と共に舌を絡ませながら、僕の腕が舞の服の中にゆっくり滑り込んでいく。,달콤한 한숨과 함께 혀를 섞으며 내 손은 마이의 상의를 천천히 파고든다.,伴隨著甜蜜的嘆息，舌頭交纏在一起，我的手則緩緩探入舞的上衣之中。,伴随着甜蜜的叹息，舌头交缠在一起，我的手则缓缓探入舞的上衣之中。
<!MissingKey:75:From Mistress Konial? ...Ah. I see. ...Mistress Konial herself.>,From Mistress Konial? ...Ah. I see. ...Mistress Konial herself.,コニアル様から？ …ああ。左様でございましたか…コニアル様が直接,코니알 님에게서요? ..아아. 그렇군요. ..코니알 님이 직접.,從柯尼亞爾大人那裡？……啊啊，原來如此……是柯尼亞爾大人親自——,从柯尼亚尔大人那里？ ……啊啊，原来如此……是柯尼亚尔大人亲自——
<!MissingKey:76:What about you? Do you remember how my pussy felt?>,What about you? Do you remember how my pussy felt?,あんたはどう…？あたしのまんこの感触…ちゃんと覚えてくれた？,너는 어때?.. 보지의 느낌 잘 기억했어?,你呢？小穴的感覺有好好記住嗎？,你呢？小穴的感觉有好好记住吗？
"<!MissingKey:77:Hehe, looks like your cock's already good to go. What do you say?>","Hehe, looks like your cock's already good to go. What do you say?",へへっ…ちんぽの方はもう準備万端みたいだし。どう？,"헤헤, 자지 쪽에서는 이미 준비 완료인 거 같으니까. 어때?",嘿嘿，看你的小弟弟那邊已經準備好了呢，怎麼樣？,嘿嘿，看你的小弟弟那边已经准备好了呢，怎么样？
<!MissingKey:78:Did you find it? The Anomaly Event.>,Did you find it? The Anomaly Event.,見つかりましたか…？異常現象。,찾으셨나요? 이상 현상.,找到了嗎？異常現象。,找到了吗？异常现象。
<!MissingKey:79:There's a hint?>,There's a hint?,ヒントがあるの？,힌트가 있어?,有提示嗎？,有提示吗？
"<!MissingKey:80:...Ahem, speaking of which, that eyeball...>","...Ahem, speaking of which, that eyeball...",…んんっ、そういえばあの眼球は…,"..흠흠, 그러고 보니 그 눈알은..",……咳嗯，說起來那顆眼球……,……咳嗯，说起来那颗眼球……
<!MissingKey:81:...But if it's just the two of us... I'll think about it.>,...But if it's just the two of us... I'll think about it.,…でも、二人きりの時なら…考えとく。,..하지만 둘뿐이라면 ..생각해 볼게.,……不過如果只有我們兩個的話……我會考慮看看啦。,……不过如果只有我们两个的话……我会考虑看看啦。
,,,,,
<!MissingKey:83:...I never expected to feel this way at the moment of reunion.>,...I never expected to feel this way at the moment of reunion.,…再会の瞬間に、こんな気持ちになるなんて…思わなかった。,..만남의 순간에 이런 기분이 들 줄도.. 몰랐다.,……也沒料到……重逢的時刻會是這種心情。,……也没料到……重逢的时刻会是这种心情。
,,,,,
<!MissingKey:85:It's gone? Where'd it go so fast?>,It's gone? Where'd it go so fast?,いないじゃん？いつの間にどこ行ったの？,없네? 그새 어디 간거지?,不見了？剛才跑哪去了？,不见了？刚才跑哪去了？
<!MissingKey:86:...Pleasurable sex... That was my first time.>,...Pleasurable sex... That was my first time.,…気持ち良い…セックス…初めてだったから。,..기분좋은 섹스.. 처음이었거든.,……舒服的性愛……那是我第一次體驗到。,……舒服的性爱……那是我第一次体验到。
<!MissingKey:87:Somewhere else entirely>,Somewhere else entirely,どこか別の場所,다른 어딘가,其他某個地方,其他某个地方
"<!MissingKey:88:First, the 2,000 Tickets... Yes, everything appears to be in order. Thank you for your hard work.>","First, the 2,000 Tickets... Yes, everything appears to be in order. Thank you for your hard work.",まずチケット2000枚…確かにお持ちですね。お疲れ様でございました。,우선 티켓 2000개.. 확실하게 모아 오셨군요. 고생하셨습니다.,首先是兩千張票券……確實已經收齊了，辛苦您了。,首先是两千张票券……确实已经收齐了，辛苦您了。
"<!MissingKey:89:Mai, still basking in the afterglow, keeps her eyes fixed on me with a gentle smile.>","Mai, still basking in the afterglow, keeps her eyes fixed on me with a gentle smile.",舞は余韻に浸りながらも、微笑みを浮かべて僕から視線を逸らさない。,마이는 여운에 젖어 있으면서도 미소를 지으며 나에게서 시선을 때지 않는다.,舞仍沉浸在餘韻中，卻帶著微笑，目光始終沒有離開我。,舞仍沉浸在余韵中，却带着微笑，目光始终没有离开我。
,,,,,
,,,,,
<!MissingKey:92:...>,...,…,.....,我……,我……
"<!MissingKey:93:You had no friends, kept bothering me, so I pretended to be nice... and then you went around calling us 'friends' or whatever... And here you are, still dragging me down. Pazuzu.>","You had no friends, kept bothering me, so I pretended to be nice... and then you went around calling us 'friends' or whatever... And here you are, still dragging me down. Pazuzu.",いつも端っこで孤立して…ウザ絡みしてくるお前に少し仲良いフリをしてやったら…勝手に友達気取りか。あの頃と同じ、相変わらず足手まといだなパズズ。,내내 친구도 없이 나를 귀찮게 하길래 친한 척 해줬더니 멋대로 친구라느니 어쩌니.. 결국 지금까지 내 발목만 붙잡는 녀석이네. 파주주.,妳一直沒朋友，老是來纏著我，我好心裝成跟妳很好，妳就擅自說什麼我們是朋友之類的……結果到現在還在拖我後腿呢，帕祖祖。,妳一直没朋友，老是来缠着我，我好心装成跟妳很好，妳就擅自说什么我们是朋友之类的……结果到现在还在拖我后腿呢，帕祖祖。
,,,,,
<!MissingKey:95:Nothing for now.>,Nothing for now.,用はない,용건은 없다.,沒什麼事,没什么事
"<!MissingKey:96:Once should calm her down, right?>","Once should calm her down, right?",一回すれば落ち着くよな？,한번 하고 나면 나아 지겠지?,做一次的話應該就會好了吧？,做一次的话应该就会好了吧？
<!MissingKey:97:...That... I cannot fathom why you would take interest in such things. They are utterly worthless now.>,...That... I cannot fathom why you would take interest in such things. They are utterly worthless now.,……それは…なぜそのようなものに、あなたがたが関心をお持ちになるのか、理解しかねます。何の役にも立たないものですのに…,..그게.. 어째서 그것들에 관심을 가지시는 건지 모르겠습니다. 아무 쓸모도 없어진 것들입니다만.,……那個……鄙人不太明白您為何會對那些東西感興趣，那些都是毫無用處的廢物了。,……那个……鄙人不太明白您为何会对那些东西感兴趣，那些都是毫无用处的废物了。
<!MissingKey:98:Why would you go that far? Don't you want to escape as soon as possible?>,Why would you go that far? Don't you want to escape as soon as possible?,何故そこまで…？一刻も早く脱出したいんじゃないのか？,어째서 그렇게까지? 한시 빨리 탈출하고 싶지 않아?,為什麼要做到這種地步？你不是想快點逃出去嗎？,为什么要做到这种地步？你不是想快点逃出去吗？
"<!MissingKey:99:That aside, I haven't introduced myself. I'm Reina Takahashi. I work at a small company in Akihabara.>","That aside, I haven't introduced myself. I'm Reina Takahashi. I work at a small company in Akihabara.",そういえば…自己紹介がまだでしたね。私は、高橋怜奈と申します。秋葉原の会社で働いています。,그건 그렇고. 제 소개를 안 했네요. 타카하시 레이나 입니다. 아키하바라의 작은 회사에 다니고 있어요.,說起來，我還沒自我介紹呢，我叫高橋怜奈，在秋葉原的一家小公司工作。,说起来，我还没自我介绍呢，我叫高桥怜奈，在秋叶原的一家小公司工作。
<!MissingKey:100:(...)>,(...),(…),(...),（……）,（……）
"<!MissingKey:101:Now then! The great Konial has given her prescription, so take it to heart! I'm off!>","Now then! The great Konial has given her prescription, so take it to heart! I'm off!",さあ！このコニアル様が処方を下してやったんだから、しっかり肝に銘じろ！我はもう行くぞ～,자! 코니알 님께서 처방을 내렸으니 명심하도록! 난 이만~,好！柯尼亞爾大人已經開出處方了，給我牢牢記住！我先走囉～,好！柯尼亚尔大人已经开出处方了，给我牢牢记住！我先走啰～
"<!MissingKey:102:Oh, your phone's all fixed up and good as new?>","Oh, your phone's all fixed up and good as new?",お、あんたのスマホキレイに直ってんじゃん？,"오, 네 핸드폰 깨끗하게 고쳤구나?",噢，你的手機修得跟新的一樣耶？,噢，你的手机修得跟新的一样耶？
