key,jp,ko,vi
<!MissingKey:17:コンちゃんオメガを、お前たちに渡した瞬間から、あたしは、悪魔でも、何でもない、か弱い存在にすぎないからな。>,コンちゃんオメガを、お前たちに渡した瞬間から、あたしは、悪魔でも、何でもない、か弱い存在にすぎないからな。,콘짱 오메가를 너희에게 건낸 순간부터 나는 악마도 뭣도 아닌 나약한 존재일 뿐이니까.,コンちゃんオメガを、お前たちに渡した瞬間から、あたしは、悪魔でも、何でもない、か弱い存在にすぎないからな。
<!MissingKey:18:…知り合い？>,…知り合い？,..아는 사이?,…知り合い？
<!MissingKey:19:すごく、可愛い。>,すごく、可愛い。,너무 귀여워.,すごく、可愛い。
<!MissingKey:20:ひとまず、もっと前へ進んでみよう。>,ひとまず、もっと前へ進んでみよう。,일단 앞으로 더 가보자.,ひとまず、もっと前へ進んでみよう。
<!MissingKey:21:…ん？あの前に、何かあります。確認してみましょう。>,…ん？あの前に、何かあります。確認してみましょう。,..응? 저 앞에 무언가 있어요. 확인해 보죠.,…ん？あの前に、何かあります。確認してみましょう。
,,,
<!MissingKey:23:実は、あたしも…そんなに、嫌いじゃないんだ。いやらしいこと。へへっ。>,実は、あたしも…そんなに、嫌いじゃないんだ。いやらしいこと。へへっ。,실은 나도.. 그렇게 싫어하지 않아. 야한 거. 헤헷.,実は、あたしも…そんなに、嫌いじゃないんだ。いやらしいこと。へへっ。
<!MissingKey:24:コニアルが、本当に約束を守ってくれたのでしょうか？でも、あの二人は、一体どこへ…>,コニアルが、本当に約束を守ってくれたのでしょうか？でも、あの二人は、一体どこへ…,코니알이 정말 약속을 지킨 건가요? 그치만 저 둘은 대체 어디로..,コニアルが、本当に約束を守ってくれたのでしょうか？でも、あの二人は、一体どこへ…
,,,
,,,
<!MissingKey:27:おっぱいを揉むのを、許してくれた怜奈だが、彼女の背中に、精液を、たっぷりかけるのは、別の話だ。>,おっぱいを揉むのを、許してくれた怜奈だが、彼女の背中に、精液を、たっぷりかけるのは、別の話だ。,"젖을 주무르게 허락해준 레이나지만, 그녀의 등에 한가득 정액 범벅이 되는 건 다른 얘기이다.",おっぱいを揉むのを、許してくれた怜奈だが、彼女の背中に、精液を、たっぷりかけるのは、別の話だ。
<!MissingKey:28:ちょっと待って！>,ちょっと待って！,잠깐만 기다려!,ちょっと待って！
,,,
<!MissingKey:30:…本当に、確実なこと…ですよね？>,…本当に、確実なこと…ですよね？,.. 정말 확실한 거.. 맞는 거죠?,…本当に、確実なこと…ですよね？
<!MissingKey:31:せっかくだから、俺のことは、心配しないで。>,せっかくだから、俺のことは、心配しないで。,모처럼이니까 난 걱정하지 말고.,せっかくだから、俺のことは、心配しないで。
<!MissingKey:32:相当な量の情念が、ここに集まっては散った。お前が立っている、その場所で。>,相当な量の情念が、ここに集まっては散った。お前が立っている、その場所で。,상당한 양의 정념들이 이곳에 모였다 흩어졌어. 니가 서 있는 그 자리에서.,相当な量の情念が、ここに集まっては散った。お前が立っている、その場所で。
<!MissingKey:33:こうすれば、おっぱいが、もっと気持ちいいって、優しく、大きな円を描くように…>,こうすれば、おっぱいが、もっと気持ちいいって、優しく、大きな円を描くように…,"이렇게 하면 가슴이 좀 더 기분 좋다고, 부드럽게 큰 원을 그리듯..",こうすれば、おっぱいが、もっと気持ちいいって、優しく、大きな円を描くように…
,,,
<!MissingKey:35:本当？それなら、よかった！早く確認してみよう。>,本当？それなら、よかった！早く確認してみよう。,정말? 그럼 다행이네! 어서 확인해 보자.,本当？それなら、よかった！早く確認してみよう。
<!MissingKey:36:熱いちんぽで、容赦なく…あっ…>,熱いちんぽで、容赦なく…あっ…,뜨거운 자지로 사정없이.. 아앗..,熱いちんぽで、容赦なく…あっ…
<!MissingKey:37:あんただけに、見せてあげられる、可愛い水着が、たくさんあるからさ。へへ。>,あんただけに、見せてあげられる、可愛い水着が、たくさんあるからさ。へへ。,너에게만 보여줄 수 있는 이쁜 수영복들이 많으니까. 헤헤.,あんただけに、見せてあげられる、可愛い水着が、たくさんあるからさ。へへ。
,,,
<!MissingKey:39:…じゃあ、これから探索を始めればいいのか？>,…じゃあ、これから探索を始めればいいのか？,..그럼 이제 탐색을 시작하면 될까?,…じゃあ、これから探索を始めればいいのか？
<!MissingKey:40:このまま…入れたまま、しばらく、いたいです。>,このまま…入れたまま、しばらく、いたいです。,이대로.. 넣은 채로 잠시 있고 싶어요.,このまま…入れたまま、しばらく、いたいです。
<!MissingKey:41:ぴょんぴょん跳ねて、喜ぶ舞のためにも、注意深く、チェックしてみよう。>,ぴょんぴょん跳ねて、喜ぶ舞のためにも、注意深く、チェックしてみよう。,방방 뛰며 기뻐하는 마이를 위해서라도 주의깊게 체크해 보자.,ぴょんぴょん跳ねて、喜ぶ舞のためにも、注意深く、チェックしてみよう。
<!MissingKey:42:お前たちの考えは？>,お前たちの考えは？,너희들 생각은?,お前たちの考えは？
<!MissingKey:43:ちょっと待ってください…パズズは、確か、この電車を、簡単に、見つけ出したと、言っていました。何度も、戻ってきた、と。>,ちょっと待ってください…パズズは、確か、この電車を、簡単に、見つけ出したと、言っていました。何度も、戻ってきた、と。,잠깐만요.. 파주주는 분명 이 전차를 손쉽게 찾아냈다고 했어요. 몇번이고 되돌아 왔고요.,ちょっと待ってください…パズズは、確か、この電車を、簡単に、見つけ出したと、言っていました。何度も、戻ってきた、と。
<!MissingKey:44:…今度は、煙を抜くのに苦労しそうだな。じゃあな、ご苦労だった。執事。>,…今度は、煙を抜くのに苦労しそうだな。じゃあな、ご苦労だった。執事。,..이번엔 연기 빼려면 고생 좀 하겠네. 그럼 잘 가. 고생했어. 집사.,…今度は、煙を抜くのに苦労しそうだな。じゃあな、ご苦労だった。執事。
<!MissingKey:45:頼まれたものは、全部持ってきたよ。>,頼まれたものは、全部持ってきたよ。,요청한 것들을 모두 가져왔어.,頼まれたものは、全部持ってきたよ。
<!MissingKey:46:いつもの姿とは違う、恥ずかしがり屋の舞だった。>,いつもの姿とは違う、恥ずかしがり屋の舞だった。,원래 모습과는 다른 부끄럼 많은 마이였어.,いつもの姿とは違う、恥ずかしがり屋の舞だった。
,,,
<!MissingKey:48:そうそう。まるで、駅の名前みたいだった。>,そうそう。まるで、駅の名前みたいだった。,맞아. 마치 역 이름 같았어.,そうそう。まるで、駅の名前みたいだった。
<!MissingKey:49:お戻りでしたか…>,お戻りでしたか…,돌아오셨군요..,お戻りでしたか…
<!MissingKey:50:...>,...,...,...
<!MissingKey:51:好きじゃない動物が、いるかって、聞く方が、早い。あたし、それくらい、全ての動物が、好きなんだ。>,好きじゃない動物が、いるかって、聞く方が、早い。あたし、それくらい、全ての動物が、好きなんだ。,좋아하지 않는 동물이 있냐고 묻는 편이 빠를 거야. 나 그 정도로 모든 동물들을 좋아하거든.,好きじゃない動物が、いるかって、聞く方が、早い。あたし、それくらい、全ての動物が、好きなんだ。
<!MissingKey:52:ぎゅっと握らないと、流れ落ちるくらい、柔らかくて、ぷにぷにしてるだろ？>,ぎゅっと握らないと、流れ落ちるくらい、柔らかくて、ぷにぷにしてるだろ？,꽉 쥐지 않으면 흘러 내릴 정도로 부드럽고 말랑하지?,ぎゅっと握らないと、流れ落ちるくらい、柔らかくて、ぷにぷにしてるだろ？
<!MissingKey:53:獣のような交尾で、怜奈を、数回、犯した…ような気がする。>,獣のような交尾で、怜奈を、数回、犯した…ような気がする。,짐승같은 교미로 레이나를 수차례 범한.. 느낌이 든다.,獣のような交尾で、怜奈を、数回、犯した…ような気がする。
<!MissingKey:54:…これじゃあ、一回じゃ、足りないな。>,…これじゃあ、一回じゃ、足りないな。,..이러면 한번으로는 부족하겠네.,…これじゃあ、一回じゃ、足りないな。
<!MissingKey:55:「あー、あー」>,「あー、あー」,아-아',「あー、あー」
<!MissingKey:56:...>,...,...,...
<!MissingKey:57:え？覚えてないのかよ、まさか？あ！やっぱり、鳥だから、記憶力が…>,え？覚えてないのかよ、まさか？あ！やっぱり、鳥だから、記憶力が…,뭐? 기억 못하는 거야 설마? 아! 역시 새라서 기억력이..,え？覚えてないのかよ、まさか？あ！やっぱり、鳥だから、記憶力が…
<!MissingKey:58:そのまま、両腕を床につき、頭を床につけて、うつ伏せになる。>,そのまま、両腕を床につき、頭を床につけて、うつ伏せになる。,"그대로, 두 팔을 바닥에 짚으며 머리를 바닥에 붙인 뒤 엎드린다.",そのまま、両腕を床につき、頭を床につけて、うつ伏せになる。
<!MissingKey:59:さっきコニアルと何か話してたみたいだけど、大事なこと？>,さっきコニアルと何か話してたみたいだけど、大事なこと？,"아까 코니알하고 뭔가 얘기하던데, 중요한 거야?",さっきコニアルと何か話してたみたいだけど、大事なこと？
<!MissingKey:60:…わたくしの方こそ。人間の方々に応援されるとは、思いもよりませんでした。コニアル様は、それらをただのゴミとしかお考えになりませんでしたから…>,…わたくしの方こそ。人間の方々に応援されるとは、思いもよりませんでした。コニアル様は、それらをただのゴミとしかお考えになりませんでしたから…,..저야말로. 인간들에게 응원을 받을 줄은 몰랐습니다. 코니알님은 그것들을 그저 쓰레기라고만 생각하셨으니까요..,…わたくしの方こそ。人間の方々に応援されるとは、思いもよりませんでした。コニアル様は、それらをただのゴミとしかお考えになりませんでしたから…
,,,
<!MissingKey:62:私が、スタート地点へ…お返しします…>,私が、スタート地点へ…お返しします…,제가 시작 지점으로.. 돌려보내 드릴게요..,私が、スタート地点へ…お返しします…
<!MissingKey:63:執事様は、本当に親切ですね。ありがとうございます。>,執事様は、本当に親切ですね。ありがとうございます。,집사님은 정말 친절하세요. 감사합니다.,執事様は、本当に親切ですね。ありがとうございます。
<!MissingKey:64:…あたしは、パズズに、復讐する気はない。口出しする必要もないし。>,…あたしは、パズズに、復讐する気はない。口出しする必要もないし。,..난 파주주에게 복수할 생각 없어. 참견할 필요도 없고.,…あたしは、パズズに、復讐する気はない。口出しする必要もないし。
<!MissingKey:65:じゃあ、説明は、ここまで！これからが、始まりだ。まずは、ウォーミングアップで、5番目の車両まで、異変を、探していけ。>,じゃあ、説明は、ここまで！これからが、始まりだ。まずは、ウォーミングアップで、5番目の車両まで、異変を、探していけ。,그럼 설명은 여기까지! 이제부터 시작이야. 우선은 몸풀기로 5번째 칸까지 이변을 찾아나가면 돼.,じゃあ、説明は、ここまで！これからが、始まりだ。まずは、ウォーミングアップで、5番目の車両まで、異変を、探していけ。
<!MissingKey:66:...>,...,...,...
,,,
<!MissingKey:68:そうだ、動物の話をしたら、思い出した。探索してる途中で、拾ったんだけど…一度、確認してみるか？>,そうだ、動物の話をしたら、思い出した。探索してる途中で、拾ったんだけど…一度、確認してみるか？,"맞다, 동물 이야기를 하니까 떠올랐어. 탐색하던 중에 주운 건데.. 한번 확인해 볼래?",そうだ、動物の話をしたら、思い出した。探索してる途中で、拾ったんだけど…一度、確認してみるか？
<!MissingKey:69:コニアル、あなたが提案したことは、全て、嘘でした。私たちを、一生、この電車の中に、閉じ込めるつもりだったのでしょう？>,コニアル、あなたが提案したことは、全て、嘘でした。私たちを、一生、この電車の中に、閉じ込めるつもりだったのでしょう？,코니알 당신이 제안한 건 모두 거짓말이었어요. 저희를 평생 이 전차 안에 가둘 셈이었죠?,コニアル、あなたが提案したことは、全て、嘘でした。私たちを、一生、この電車の中に、閉じ込めるつもりだったのでしょう？
<!MissingKey:70:甘い溜息と共に、舌を、絡ませながら、俺の手は、舞のトップスの、中に、ゆっくりと、入り込む。>,甘い溜息と共に、舌を、絡ませながら、俺の手は、舞のトップスの、中に、ゆっくりと、入り込む。,달콤한 한숨과 함께 혀를 섞으며 내 손은 마이의 상의를 천천히 파고든다.,甘い溜息と共に、舌を、絡ませながら、俺の手は、舞のトップスの、中に、ゆっくりと、入り込む。
<!MissingKey:71:コニアル様から、ですか？…ああ、なるほど。…コニアル様が、直々に。>,コニアル様から、ですか？…ああ、なるほど。…コニアル様が、直々に。,코니알 님에게서요? ..아아. 그렇군요. ..코니알 님이 직접.,コニアル様から、ですか？…ああ、なるほど。…コニアル様が、直々に。
<!MissingKey:72:あんたは、どうだった…？おまんこの感じ、ちゃんと、覚えてるか？>,あんたは、どうだった…？おまんこの感じ、ちゃんと、覚えてるか？,너는 어때?.. 보지의 느낌 잘 기억했어?,あんたは、どうだった…？おまんこの感じ、ちゃんと、覚えてるか？
<!MissingKey:73:へへ、ちんぽの方は、もう、準備万端みたいだからさ。どう？>,へへ、ちんぽの方は、もう、準備万端みたいだからさ。どう？,"헤헤, 자지 쪽에서는 이미 준비 완료인 거 같으니까. 어때?",へへ、ちんぽの方は、もう、準備万端みたいだからさ。どう？
<!MissingKey:74:見つかりましたか？異常現象。>,見つかりましたか？異常現象。,찾으셨나요? 이상 현상.,見つかりましたか？異常現象。
<!MissingKey:75:ヒントがあるのか？>,ヒントがあるのか？,힌트가 있어?,ヒントがあるのか？
<!MissingKey:76:…ふむふむ、そういえば、あの目玉は…>,…ふむふむ、そういえば、あの目玉は…,"..흠흠, 그러고 보니 그 눈알은..",…ふむふむ、そういえば、あの目玉は…
<!MissingKey:77:…でも、二人きりなら…考えてみる。>,…でも、二人きりなら…考えてみる。,..하지만 둘뿐이라면 ..생각해 볼게.,…でも、二人きりなら…考えてみる。
,,,
<!MissingKey:79:…出会いの瞬間に、こんな気持ちになるとも…思わなかった。>,…出会いの瞬間に、こんな気持ちになるとも…思わなかった。,..만남의 순간에 이런 기분이 들 줄도.. 몰랐다.,…出会いの瞬間に、こんな気持ちになるとも…思わなかった。
,,,
<!MissingKey:81:いないな？いつの間に、どこへ行ったんだろ？>,いないな？いつの間に、どこへ行ったんだろ？,없네? 그새 어디 간거지?,いないな？いつの間に、どこへ行ったんだろ？
<!MissingKey:82:…気持ちいいセックス…初めてだったからな。>,…気持ちいいセックス…初めてだったからな。,..기분좋은 섹스.. 처음이었거든.,…気持ちいいセックス…初めてだったからな。
<!MissingKey:83:どこか、別の場所>,どこか、別の場所,다른 어딘가,どこか、別の場所
<!MissingKey:84:まずはチケット2000枚…確かに集めてこられましたね。ご苦労さまでした。>,まずはチケット2000枚…確かに集めてこられましたね。ご苦労さまでした。,우선 티켓 2000개.. 확실하게 모아 오셨군요. 고생하셨습니다.,まずはチケット2000枚…確かに集めてこられましたね。ご苦労さまでした。
,,,
,,,
<!MissingKey:87:ずっと友達もいなくて、俺にまとわりつくから、親しいフリをしてやったら、勝手に友達だの何だの…結局、今まで俺の足ばかり引っ張る奴だな。パズズ。>,ずっと友達もいなくて、俺にまとわりつくから、親しいフリをしてやったら、勝手に友達だの何だの…結局、今まで俺の足ばかり引っ張る奴だな。パズズ。,내내 친구도 없이 나를 귀찮게 하길래 친한 척 해줬더니 멋대로 친구라느니 어쩌니.. 결국 지금까지 내 발목만 붙잡는 녀석이네. 파주주.,ずっと友達もいなくて、俺にまとわりつくから、親しいフリをしてやったら、勝手に友達だの何だの…結局、今まで俺の足ばかり引っ張る奴だな。パズズ。
,,,
<!MissingKey:89:用はない>,用はない,용건은 없다.,用はない
<!MissingKey:90:一度すれば、治まるだろうか？>,一度すれば、治まるだろうか？,한번 하고 나면 나아 지겠지?,一度すれば、治まるだろうか？
<!MissingKey:91:…その…なぜ、それらにご興味を？何の役にも立たなくなったものですが。>,…その…なぜ、それらにご興味を？何の役にも立たなくなったものですが。,..그게.. 어째서 그것들에 관심을 가지시는 건지 모르겠습니다. 아무 쓸모도 없어진 것들입니다만.,…その…なぜ、それらにご興味を？何の役にも立たなくなったものですが。
<!MissingKey:92:どうして、そこまで？一刻も早く、脱出したいんじゃないのか？>,どうして、そこまで？一刻も早く、脱出したいんじゃないのか？,어째서 그렇게까지? 한시 빨리 탈출하고 싶지 않아?,どうして、そこまで？一刻も早く、脱出したいんじゃないのか？
<!MissingKey:93:それは、さておき。自己紹介を、していませんでしたね。高橋怜奈と申します。秋葉原の、小さな会社に、勤めています。>,それは、さておき。自己紹介を、していませんでしたね。高橋怜奈と申します。秋葉原の、小さな会社に、勤めています。,그건 그렇고. 제 소개를 안 했네요. 타카하시 레이나 입니다. 아키하바라의 작은 회사에 다니고 있어요.,それは、さておき。自己紹介を、していませんでしたね。高橋怜奈と申します。秋葉原の、小さな会社に、勤めています。
<!MissingKey:94:(...)>,(...),(...),(...)
<!MissingKey:95:さあ！コニアル様が、処方箋を、下してやったんだから、心に、留めておけよ！あたしは、これで～>,さあ！コニアル様が、処方箋を、下してやったんだから、心に、留めておけよ！あたしは、これで～,자! 코니알 님께서 처방을 내렸으니 명심하도록! 난 이만~,さあ！コニアル様が、処方箋を、下してやったんだから、心に、留めておけよ！あたしは、これで～
<!MissingKey:96:お、お前のスマホ、きれいに直したんだな？>,お、お前のスマホ、きれいに直したんだな？,"오, 네 핸드폰 깨끗하게 고쳤구나?",お、お前のスマホ、きれいに直したんだな？
<!MissingKey:97:放送は、この辺りから、出ているようです。>,放送は、この辺りから、出ているようです。,방송은 이 근처에서 나오는 거 같아요.,放送は、この辺りから、出ているようです。
<!MissingKey:98:だ、大丈夫ですか？！頭は、打っていませんか？>,だ、大丈夫ですか？！頭は、打っていませんか？,괘.. 괜찮으세요?! 머리 안 다치셨어요?,だ、大丈夫ですか？！頭は、打っていませんか？
<!MissingKey:99:浜辺で、着られないビキニとは…>,浜辺で、着られないビキニとは…,해변에서 입지 못하는 비키니라..,浜辺で、着られないビキニとは…
,,,
<!MissingKey:101:いっそ、逆の方法を試してみるのは？>,いっそ、逆の方法を試してみるのは？,오히려 반대의 방법을 써 보는 건?,いっそ、逆の方法を試してみるのは？
<!MissingKey:102:荒い息が、うなじに、触れながら…だんだん、強く、握ると…もっと、恥ずかしくなります…>,荒い息が、うなじに、触れながら…だんだん、強く、握ると…もっと、恥ずかしくなります…,거친 숨결이 목덜미에 닿으면서.. 점점 강하게 쥐면.. 더 부끄러워져요..,荒い息が、うなじに、触れながら…だんだん、強く、握ると…もっと、恥ずかしくなります…
<!MissingKey:103:...>,...,....,...
<!MissingKey:104:以前と違う部分を見つけたら、その前へ移動しろ。>,以前と違う部分を見つけたら、その前へ移動しろ。,이전과 다른 부분을 발견했다면 그 앞으로 이동해.,以前と違う部分を見つけたら、その前へ移動しろ。
<!MissingKey:105:！…>,！…,!..,！…
<!MissingKey:106:だ、黙れ！消えないなら、なかったことにするぞ！>,だ、黙れ！消えないなら、なかったことにするぞ！,다.. 닥쳐! 안 사라지면 없던 일로 하겠어!,だ、黙れ！消えないなら、なかったことにするぞ！
,,,
<!MissingKey:108:ここは、路線を登録すれば、いつでも、また、来られますね。今度は、舞さんも、一緒に、来ましょう。>,ここは、路線を登録すれば、いつでも、また、来られますね。今度は、舞さんも、一緒に、来ましょう。,이곳은 노선을 등록하면 언제든 다시 방문할 수 있겠어요. 다음엔 마이 양도 함께 오도록 하죠.,ここは、路線を登録すれば、いつでも、また、来られますね。今度は、舞さんも、一緒に、来ましょう。
,,,
<!MissingKey:110:…代わりに、こいつが、目を覚ましたら、二人に、話があるんだ。>,…代わりに、こいつが、目を覚ましたら、二人に、話があるんだ。,..대신 이 녀석이 깨어나면 둘에게 해 줄 얘기가 있어.,…代わりに、こいつが、目を覚ましたら、二人に、話があるんだ。
<!MissingKey:111:え？本当じゃないか。待ってみろ。スマホの時間では…>,え？本当じゃないか。待ってみろ。スマホの時間では…,어? 정말이잖아. 기다려 봐. 핸드폰 시간으로는..,え？本当じゃないか。待ってみろ。スマホの時間では…
<!MissingKey:112:やがて、体を、少し、回しながら、彼女の、小さな手が、俺の太ももを、伝い、上がってくる。>,やがて、体を、少し、回しながら、彼女の、小さな手が、俺の太ももを、伝い、上がってくる。,"이윽고, 몸을 살짝 돌리며 그녀의 작은 손이, 내 허벅지를 따라 올라온다.",やがて、体を、少し、回しながら、彼女の、小さな手が、俺の太ももを、伝い、上がってくる。
<!MissingKey:113:あんたがくれた、大きなブラが、包んでいた巨乳だよ。思ったより、重いだろ？>,あんたがくれた、大きなブラが、包んでいた巨乳だよ。思ったより、重いだろ？,네가 준 큰 브라가 감싸고 있던 거유 가슴이야. 생각보다 무겁지?,あんたがくれた、大きなブラが、包んでいた巨乳だよ。思ったより、重いだろ？
<!MissingKey:114:ああ、そうだ！聞けよ！>,ああ、そうだ！聞けよ！,아아 맞아! 들어 봐!,ああ、そうだ！聞けよ！
<!MissingKey:115:ものすごい勇気を、出したかのように、怜奈は、顔を赤く染めたまま、震える唇を、開く。>,ものすごい勇気を、出したかのように、怜奈は、顔を赤く染めたまま、震える唇を、開く。,"엄청난 용기를 낸 것처럼, 레이나는 얼굴을 붉게 물들인 채 떨리는 입을 땐다.",ものすごい勇気を、出したかのように、怜奈は、顔を赤く染めたまま、震える唇を、開く。
<!MissingKey:116:あ、じゃあ、一人で、手で、済ませる？見てないフリしてあげるから！>,あ、じゃあ、一人で、手で、済ませる？見てないフリしてあげるから！,아 그러면 혼자 손으로 해결할래? 못 본 척 할테니까!,あ、じゃあ、一人で、手で、済ませる？見てないフリしてあげるから！
<!MissingKey:117:皆さん…！何か、収穫はありましたか？>,皆さん…！何か、収穫はありましたか？,여러분들..! 무언가 수확이 있었나요?,皆さん…！何か、収穫はありましたか？
<!MissingKey:118:入り口の方の物が2000年代くらいに見えましたから…確かに、もう少し最近ですね。>,入り口の方の物が2000年代くらいに見えましたから…確かに、もう少し最近ですね。,입구쪽 물건이 2000년대쯤으로 보였으니까.. 확실히 좀 더 최근이네요.,入り口の方の物が2000年代くらいに見えましたから…確かに、もう少し最近ですね。
<!MissingKey:119:唾液も混ぜて、もっとぬるぬるにすれば、さらに気持ちよくなるのではないかと…>,唾液も混ぜて、もっとぬるぬるにすれば、さらに気持ちよくなるのではないかと…,침까지 섞어서 더 미끌거리게 만들면 기분이 더 좋아지지 않을까 싶습니다만..,唾液も混ぜて、もっとぬるぬるにすれば、さらに気持ちよくなるのではないかと…
<!MissingKey:120:コニアルとパズズ…二人の事件に、まんまと、巻き込まれてしまったみたいだな。>,コニアルとパズズ…二人の事件に、まんまと、巻き込まれてしまったみたいだな。,코니알과 파주주.. 둘의 사건에 영락없이 휘말려 버렸던 거 같아.,コニアルとパズズ…二人の事件に、まんまと、巻き込まれてしまったみたいだな。
<!MissingKey:121:俺が、直接コニアルの自白を引き出せって？>,俺が、直接コニアルの自白を引き出せって？,내가 직접 코니알의 자백을 받아 내라?,俺が、直接コニアルの自白を引き出せって？
<!MissingKey:122:突然のディープキスに、舞は、驚き、俺の肩を、強く、掴む。>,突然のディープキスに、舞は、驚き、俺の肩を、強く、掴む。,갑작스런 딥 키스에 마이는 깜짝 놀라 내 어깨를 강하게 쥔다.,突然のディープキスに、舞は、驚き、俺の肩を、強く、掴む。
<!MissingKey:123:...>,...,.....,...
<!MissingKey:124:精液は、慣れてないのか？男だろ。>,精液は、慣れてないのか？男だろ。,정액은 익숙하지 않아? 남자잖아.,精液は、慣れてないのか？男だろ。
<!MissingKey:125:...>,...,...,...
,,,
,,,
,,,
<!MissingKey:129:…ふふっ、はい。あちこち、しっかりと、見てください。>,…ふふっ、はい。あちこち、しっかりと、見てください。,"..후훗, 네. 이곳 저곳 확실하게 봐 주세요.",…ふふっ、はい。あちこち、しっかりと、見てください。
<!MissingKey:130:情念は、ただ人間のみに吸収されるものでした。[br]…これまでは、ですが…>,情念は、ただ人間のみに吸収されるものでした。[br]…これまでは、ですが…,정념은 오직 인간에게만 흡수될 수 있었어요. [br]..지금까지는요..,情念は、ただ人間のみに吸収されるものでした。[br]…これまでは、ですが…
<!MissingKey:131:聞けよ。電車の中の様子は、飽きるほど見たけど、電車の外の様子は、どうなんだろ。>,聞けよ。電車の中の様子は、飽きるほど見たけど、電車の外の様子は、どうなんだろ。,들어 봐. 전차 안의 모습은 질리도록 봤는데 전차 바깥의 모습은 어떨지.,聞けよ。電車の中の様子は、飽きるほど見たけど、電車の外の様子は、どうなんだろ。
<!MissingKey:132:（…こつん）>,（…こつん）,(..툭),（…こつん）
<!MissingKey:133:一緒に来るときは全然聞こえなかったな……>,一緒に来るときは全然聞こえなかったな……,같이 오면서 전혀 듣지 못했는데..,一緒に来るときは全然聞こえなかったな……
<!MissingKey:134:…お前が今、しでかしたことが、ど、どれほど深刻か、分からないだろう…戻れば、数千年は懲罰を受けなければならないだろうな…それでも、許しはしないぞ。>,…お前が今、しでかしたことが、ど、どれほど深刻か、分からないだろう…戻れば、数千年は懲罰を受けなければならないだろうな…それでも、許しはしないぞ。,..네가 지금 벌인 일들이 어..얼마나 심각한 지 모를거야.. 돌아가면 수천년은 징벌을 받아야겠지.. 그래도 놔 주진 않을 거야.,…お前が今、しでかしたことが、ど、どれほど深刻か、分からないだろう…戻れば、数千年は懲罰を受けなければならないだろうな…それでも、許しはしないぞ。
