key,ID,대사,씬,연출메모,화자
<!MissingKey:36:d7f>,d7f,자지.. 넣어 주세요.,e_reverse_train,이 대사 이후 프리 액션 진입,reina
<!MissingKey:37:1068>,1068,아..아읏..하..,e_window,(재개) 재개 첫 대사,reina
<!MissingKey:38:c5d>,c5d,..네. 자지. 넣어 주세요. 충분히 젖어 버렸으니..,e_panty,이 대사 이후 삽입 자세로 전환,reina
<!MissingKey:39:c84>,c84,네.. 저는 신경쓰지 말고..옷! 하앗... 아!,e_reina_fella,이 대사 이후 암전 해제,reina
<!MissingKey:40:80a>,80a,하아..하아.,e_bird,(재개) 재개 첫 대사,reina
<!MissingKey:41:89d>,89d,그러니 잠시 이대로.. 진정될 때까지.. 있어 주세요..,e_bottom_eye,이 대사 이후 화면 전환 (H씬에서 빠져나온 일반 대화로 전환),reina
<!MissingKey:42:809>,809,"그럼, 느긋하게 즐겨 주세요.",e_bird,이 대사 이후 프리 액션 진입,reina
<!MissingKey:43:b87>,b87,조.. 조금만 더 담그고 있을 테니까.. 앉아서 쉬고 계시겠어요?,e_onsen,"이 대사 이후 화면 전환, 이후 3초 무음 구간",reina
722,b41,이쪽도.. 만져 드릴까요?,e_nopan,이 대사 이후 고환 자극 자세로 전환,reina
<!MissingKey:45:7ee>,7ee,그래도.. 이럴땐 한번 맞춰 드리는 것도 나쁘지 않겠네요.,e_bird,"이 대사 이후 레이나 퇴장, 화면 전환, 「수유」 씬 시작",reina
<!MissingKey:46:d22>,d22,괜찮다면 여기서.. 하도록 할까요?,e_reina_swimsuit,이 대사 이후 프리 액션 진입,reina
<!MissingKey:47:89a>,89a,으읏..! 하아.. 하아..,e_bottom_eye,(재개) 재개 첫 대사,reina
<!MissingKey:48:83e>,83e,이걸로 도움이 될 수 있다면.. 네. 한 번 해볼게요..,e_bottom_eye,이 대사 이후 배경 서서히 암전 (1초),reina
1366,d23,하아.. 하아.. 엉망진창..,e_reina_swimsuit,(재개) 재개 첫 대사 (행위 후),reina
<!MissingKey:50:b46>,b46,"하지만 역시, 이 쪽이 더 좋으신 거죠?",e_nopan,이 대사 이후 핸드잡 자세로 복귀,reina
<!MissingKey:51:bc8>,bc8,이곳은 노선을 등록하면 언제든 다시 방문할 수 있겠어요...,e_onsen,이 대사 이후 배경 서서히 암전 (3초),reina
<!MissingKey:52:ad8>,ad8,하읏.. 원하는 만큼.. 가지고 놀아 주세요..,e_green,이 대사 이후 프리 액션 진입,reina
<!MissingKey:53:ade>,ade,"이렇게나 큰 가슴도, 싫은 점만 있는 건 아니네요.",e_green,이 대사 이후 씬 종료,reina
<!MissingKey:54:bd1>,bd1,다.. 다음엔 이정도로 격렬하게 하는 건.. 자제하도록 해요.,e_onsen,이 대사 이후 씬 종료 (게임 완료),reina
<!MissingKey:55:d8e>,d8e,저기.. 좀 더 키스 할까요?,e_reverse_train,이 대사 이후 씬 종료,reina
<!MissingKey:56:899>,899,기분 좋으실 만큼.. 움직여 주셔도 돼요..,e_bottom_eye,이 대사 이후 프리 액션 진입,reina
<!MissingKey:57:8b5>,8b5,계속해서 쭉.. 함께 할 수 있으면 좋겠어요.,e_bottom_eye,이 대사 이후 씬 종료,reina
<!MissingKey:58:bb6>,bb6,하지만 온천 안에서는 위험하니.. 이쪽으로 오세요.,e_onsen,"이 대사 이후 화면 전환, 「옆으로 누워서」 씬 시작",reina
<!MissingKey:59:81c>,81c,돌아가면 비밀로 해주세요. 반드시.,e_bird,이 대사 이후 씬 종료 (게임 완료),reina
<!MissingKey:60:18a6>,18a6,후으으.. 잠깐 이대로 있게 해 주세요.,e_reina_full_sitting,이 대사 이후 화면 전환,reina
<!MissingKey:61:c58>,c58,괜찮으시다면.. 제 이곳.. 편해질 수 있게 도와주실 수 있나요..?,e_panty,"이 대사 이후 레이나 퇴장, 화면 전환, 배경 이미지 제거 후 씬 재시작",reina
<!MissingKey:62:c72>,c72,으으.. 하아.. 하아.,e_panty,(재개) 재개 첫 대사,reina
<!MissingKey:63:18a3>,18a3,그대로 편하게 있으세요.. 제가 잔뜩 기분 좋게 해 드릴 테니..,e_reina_full_sitting,이 대사 이후 프리 액션 진입,reina
<!MissingKey:64:c71>,c71,저기.. 좀 더 할까요? 모든 정액 짜낼 때까지.,e_panty,이 대사 이후 프리 액션 진입,reina
<!MissingKey:65:bc3>,bc3,아흣.. 하아.. 너무 뜨거워요.. 안쪽에 가득..,e_onsen,(재개) 재개 첫 대사,reina
<!MissingKey:66:18a4>,18a4,"하앗, 하앗.. 엄청 진한 게 가득.. 이번엔 동시에 가 버렸네요..",e_reina_full_sitting,(재개) 재개 첫 대사 (사정 후),reina
